waste_type,sub_type,weight_kg,distance_km,condition,month,day_of_week,county,collection_point,market_tier,tier_score,tier_multiplier,price_per_kg
plastic,PVC,24.88,0.74,clean,4,5,Mombasa,commercial,semi_formal,0.5651,0.8347,5.9
e_waste,batteries,14.95,0.69,clean,5,5,Nakuru,industrial,semi_formal,0.5076,0.9754,39.1
plastic,HDPE,7.35,0.79,clean,5,0,Eldoret,industrial,semi_formal,0.4636,0.7962,19.61
metal,steel,21.37,1.24,clean,12,4,Nairobi,household,semi_formal,0.5448,0.9545,29.55
metal,tin,13.21,5.94,mixed,2,3,Nairobi,commercial,informal,0.2725,0.9273,18.19
paper,mixed_paper,24.42,17.48,contaminated,12,2,Kisumu,industrial,informal,0.1124,0.7337,2.94
organic,food_waste,71.45,3.13,contaminated,10,2,Nairobi,household,semi_formal,0.3847,0.9077,2.83
plastic,LDPE,47.09,0.34,mixed,9,6,Nairobi,industrial,semi_formal,0.4687,0.7981,7.95
e_waste,mixed_ewaste,86.22,4.96,clean,8,2,Eldoret,commercial,formal,0.9202,0.996,55.57
metal,tin,7.31,7.03,mixed,3,0,Nairobi,commercial,informal,0.2384,0.9238,13.81
metal,aluminum,12.82,0.27,contaminated,12,0,Nairobi,dump_site,informal,0.0453,0.9045,51.13
paper,cardboard,2.9,5.73,mixed,5,3,Eldoret,industrial,informal,0.225,0.7675,7.83
rubber,tyres,36.34,5.98,clean,7,5,Kisumu,household,semi_formal,0.6314,0.9263,16.0
plastic,LDPE,7.14,5.42,contaminated,6,3,Nairobi,dump_site,informal,0.0124,0.6247,2.78
e_waste,batteries,38.03,5.1,clean,10,2,Nairobi,commercial,semi_formal,0.6412,0.9821,48.72
plastic,PVC,36.94,10.58,mixed,3,4,Nairobi,commercial,semi_formal,0.4099,0.7758,5.4
paper,cardboard,83.07,0.27,contaminated,5,5,Eldoret,dump_site,semi_formal,0.452,0.8356,4.79
plastic,PET,6.61,2.29,contaminated,6,5,Nairobi,industrial,informal,0.0093,0.6235,12.77
plastic,LDPE,8.62,1.45,clean,10,3,Mombasa,household,semi_formal,0.471,0.799,6.84
metal,steel,23.58,2.1,clean,3,4,Eldoret,commercial,semi_formal,0.5576,0.9558,27.57
plastic,mixed_plastic,50.76,0.48,clean,1,5,Kisumu,dump_site,formal,0.7149,0.8917,7.83
metal,aluminum,46.65,11.13,clean,3,6,Nairobi,household,semi_formal,0.6911,0.9691,95.81
rubber,mixed_rubber,61.59,5.48,mixed,10,1,Nairobi,household,semi_formal,0.5526,0.9105,7.17
plastic,PVC,6.99,6.88,mixed,12,6,Nairobi,industrial,informal,0.2365,0.7099,5.94
paper,mixed_paper,42.87,20.85,clean,11,0,Mombasa,commercial,semi_formal,0.6693,0.9008,6.11
paper,newspaper,6.49,1.08,clean,6,1,Mombasa,commercial,semi_formal,0.4586,0.8376,7.26
metal,copper,38.77,3.23,mixed,3,0,Eldoret,household,semi_formal,0.4205,0.9421,295.52
plastic,LDPE,98.34,4.27,clean,11,2,Nairobi,household,formal,0.9904,0.9964,7.91
metal,aluminum,52.35,4.54,contaminated,10,2,Nairobi,household,informal,0.2741,0.9274,49.97
plastic,PET,19.61,2.84,contaminated,1,5,Nairobi,household,informal,0.0846,0.6521,11.83
e_waste,batteries,63.92,0.58,clean,1,0,Mombasa,dump_site,formal,0.7911,0.9896,46.36
plastic,PVC,12.01,3.93,mixed,11,2,Kisumu,dump_site,informal,0.2656,0.7209,4.3
plastic,HDPE,11.43,3.24,clean,7,4,Nairobi,commercial,semi_formal,0.4872,0.8051,20.44
metal,copper,28.92,9.54,clean,4,6,Kisumu,commercial,semi_formal,0.5885,0.9588,437.42
metal,tin,11.78,6.43,mixed,8,2,Eldoret,commercial,informal,0.2642,0.9264,12.94
plastic,PVC,48.06,0.75,mixed,8,6,Nakuru,household,semi_formal,0.4743,0.8002,5.17
plastic,mixed_plastic,7.96,1.32,mixed,9,1,Mombasa,commercial,informal,0.2421,0.712,6.74
plastic,mixed_plastic,31.53,1.54,mixed,12,6,Kisumu,industrial,semi_formal,0.3786,0.7639,6.59
textile,clothes,19.51,0.52,clean,10,4,Nairobi,dump_site,semi_formal,0.534,0.9068,10.3
plastic,LDPE,0.57,0.94,clean,6,6,Kisumu,household,semi_formal,0.45,0.791,6.04
metal,tin,33.31,16.92,clean,3,0,Kisumu,commercial,semi_formal,0.6139,0.9614,16.52
e_waste,cables,4.97,1.28,mixed,11,5,Mombasa,commercial,informal,0.225,0.9612,51.06
organic,food_waste,31.78,14.0,mixed,1,6,Nairobi,commercial,semi_formal,0.38,0.907,3.58
paper,cardboard,59.74,6.07,clean,6,2,Mombasa,household,formal,0.7669,0.9301,11.07
paper,mixed_paper,34.32,5.31,contaminated,9,0,Kisumu,industrial,informal,0.1697,0.7509,3.58
e_waste,mixed_ewaste,52.84,2.71,mixed,4,4,Nairobi,commercial,semi_formal,0.502,0.9751,48.19
plastic,PVC,37.45,0.27,mixed,4,3,Kisumu,commercial,semi_formal,0.4129,0.7769,4.25
metal,brass,74.07,1.2,mixed,2,0,Nairobi,industrial,semi_formal,0.6249,0.9625,278.0
glass,clear_glass,64.44,7.57,clean,12,6,Mombasa,commercial,formal,0.7941,0.9073,7.07
textile,clothes,3.78,1.81,clean,4,5,Nakuru,household,semi_formal,0.45,0.89,7.31
paper,newspaper,1.91,2.65,mixed,5,1,Nairobi,commercial,informal,0.225,0.7675,5.68
metal,brass,16.89,15.24,mixed,11,3,Nakuru,household,informal,0.2938,0.9294,129.09
plastic,PET,11.75,5.41,mixed,12,1,Mombasa,household,informal,0.2641,0.7204,14.58
rubber,tyres,9.4,2.43,clean,3,2,Kisumu,household,semi_formal,0.4755,0.8951,14.7
metal,aluminum,2.2,9.16,clean,2,5,Nairobi,commercial,semi_formal,0.45,0.945,96.01
plastic,LDPE,2.46,8.6,clean,3,5,Mombasa,industrial,semi_formal,0.45,0.791,7.53
paper,newspaper,7.07,6.89,clean,6,0,Kisumu,household,semi_formal,0.462,0.8386,5.33
plastic,mixed_plastic,23.61,10.07,contaminated,4,4,Nairobi,commercial,informal,0.1077,0.6609,4.16
paper,cardboard,6.33,0.36,clean,4,4,Nairobi,dump_site,semi_formal,0.4577,0.8373,9.53
plastic,HDPE,11.78,0.41,mixed,5,5,Kisumu,commercial,informal,0.2642,0.7204,12.75
rubber,mixed_rubber,4.27,12.37,clean,7,0,Nairobi,commercial,semi_formal,0.45,0.89,11.57
metal,copper,4.25,11.01,contaminated,10,4,Nairobi,household,informal,0.0,0.9,208.7
plastic,PET,13.49,4.33,mixed,5,1,Nairobi,household,informal,0.2742,0.7242,16.23
plastic,LDPE,27.84,1.36,contaminated,10,4,Nairobi,commercial,informal,0.1323,0.6703,3.85
paper,office_paper,2.27,11.09,clean,4,0,Kisumu,commercial,semi_formal,0.45,0.835,9.85
textile,industrial_textile,33.47,1.65,clean,4,2,Mombasa,household,semi_formal,0.6148,0.923,6.55
metal,brass,16.57,2.73,clean,1,0,Kisumu,commercial,semi_formal,0.517,0.9517,241.31
plastic,PVC,30.16,2.11,mixed,3,4,Nairobi,dump_site,semi_formal,0.3707,0.7609,4.4
paper,mixed_paper,36.01,6.31,mixed,5,5,Mombasa,dump_site,semi_formal,0.4045,0.8214,4.37
e_waste,phones,72.59,0.44,mixed,7,0,Nairobi,commercial,semi_formal,0.6163,0.9808,101.26
glass,colored_glass,14.19,9.72,mixed,4,6,Nairobi,commercial,informal,0.2782,0.6752,3.48
metal,steel,3.71,0.68,mixed,8,1,Kisumu,household,informal,0.225,0.9225,18.97
e_waste,phones,33.97,4.61,clean,12,5,Nairobi,commercial,semi_formal,0.6177,0.9809,97.29
textile,clothes,155.05,2.79,mixed,5,3,Mombasa,dump_site,formal,0.775,0.955,6.84
e_waste,phones,3.43,2.83,clean,4,1,Nairobi,household,semi_formal,0.45,0.9725,74.12
paper,mixed_paper,78.83,9.8,clean,12,5,Eldoret,dump_site,formal,0.8774,0.9632,5.45
rubber,tyres,118.74,1.78,contaminated,6,4,Nakuru,household,semi_formal,0.55,0.91,8.21
plastic,HDPE,38.31,2.79,clean,7,0,Nairobi,commercial,semi_formal,0.6428,0.8643,22.51
paper,office_paper,30.27,1.2,mixed,6,4,Nairobi,commercial,semi_formal,0.3713,0.8114,12.9
plastic,PET,12.91,2.11,clean,3,0,Nakuru,household,semi_formal,0.4958,0.8084,19.58
e_waste,computers,13.63,3.0,clean,5,1,Mombasa,dump_site,semi_formal,0.4999,0.975,68.2
glass,mixed_glass,11.19,7.0,mixed,1,5,Mombasa,dump_site,informal,0.2608,0.6674,1.72
plastic,LDPE,45.85,7.37,mixed,11,5,Nairobi,dump_site,semi_formal,0.4615,0.7954,4.8
glass,colored_glass,3.95,2.65,mixed,2,3,Mombasa,industrial,informal,0.225,0.6512,3.15
plastic,PP,99.83,6.19,clean,12,4,Kisumu,household,formal,0.999,0.9996,14.49
textile,clothes,12.95,1.39,mixed,6,3,Nairobi,industrial,informal,0.271,0.8542,11.62
metal,brass,2.44,11.68,contaminated,12,3,Mombasa,commercial,informal,0.0,0.9,130.95
organic,food_waste,17.27,9.03,mixed,10,1,Nairobi,dump_site,informal,0.296,0.8944,2.54
plastic,LDPE,30.08,1.7,clean,4,5,Nairobi,dump_site,semi_formal,0.5952,0.8462,6.61
organic,garden_waste,13.17,2.12,contaminated,1,1,Nakuru,household,informal,0.0473,0.8571,3.12
glass,mixed_glass,86.7,1.43,contaminated,5,6,Nairobi,commercial,semi_formal,0.473,0.7629,2.18
rubber,mixed_rubber,40.31,4.14,clean,1,5,Mombasa,commercial,semi_formal,0.6544,0.9309,10.01
plastic,mixed_plastic,10.36,5.55,clean,1,4,Nairobi,commercial,semi_formal,0.481,0.8028,10.95
metal,tin,35.87,18.5,contaminated,11,5,Kisumu,household,informal,0.1787,0.9179,7.41
plastic,mixed_plastic,24.57,7.47,mixed,2,3,Nairobi,commercial,informal,0.3383,0.7486,7.97
metal,brass,29.74,9.87,clean,7,3,Nairobi,commercial,semi_formal,0.5932,0.9593,327.19
glass,colored_glass,25.04,9.38,mixed,7,2,Nakuru,commercial,informal,0.341,0.7035,3.09
paper,cardboard,4.98,3.66,mixed,12,6,Mombasa,commercial,informal,0.225,0.7675,7.81
metal,tin,5.53,9.56,mixed,3,3,Mombasa,industrial,informal,0.228,0.9228,15.64
plastic,PP,6.73,3.45,clean,7,3,Nairobi,dump_site,semi_formal,0.46,0.7948,11.95
paper,mixed_paper,12.09,26.56,clean,1,2,Mombasa,commercial,semi_formal,0.4911,0.8473,6.27
glass,colored_glass,39.87,6.59,contaminated,10,5,Nairobi,commercial,informal,0.2019,0.6408,2.46
plastic,HDPE,31.95,14.58,clean,12,5,Eldoret,household,semi_formal,0.6061,0.8503,15.13
plastic,PVC,13.48,5.59,mixed,4,1,Nairobi,industrial,informal,0.2741,0.7242,4.53
organic,food_waste,10.33,9.11,clean,7,6,Nairobi,dump_site,semi_formal,0.4809,0.9221,3.8
metal,steel,44.64,3.58,clean,11,3,Kisumu,household,semi_formal,0.6795,0.9679,26.34
metal,copper,31.05,3.75,contaminated,6,3,Mombasa,household,informal,0.1508,0.9151,229.71
plastic,PP,10.0,4.45,clean,10,3,Eldoret,dump_site,semi_formal,0.479,0.802,8.63
metal,aluminum,17.28,6.8,clean,4,1,Nairobi,industrial,semi_formal,0.5211,0.9521,107.85
glass,colored_glass,7.87,6.7,contaminated,11,1,Nairobi,household,informal,0.0166,0.5575,1.7
e_waste,batteries,67.32,7.22,mixed,3,6,Mombasa,commercial,semi_formal,0.5858,0.9793,38.93
paper,office_paper,23.72,2.5,contaminated,9,4,Kisumu,commercial,informal,0.1084,0.7325,6.78
metal,steel,28.03,10.1,mixed,9,6,Nairobi,industrial,semi_formal,0.3584,0.9358,26.36
plastic,PET,11.91,3.23,mixed,12,4,Nairobi,household,informal,0.265,0.7207,15.33
plastic,PP,5.11,6.37,mixed,9,2,Mombasa,dump_site,informal,0.2256,0.7057,6.82
plastic,PVC,23.91,8.89,mixed,2,3,Eldoret,household,informal,0.3345,0.7471,4.32
plastic,PP,12.45,1.52,clean,3,1,Nairobi,commercial,semi_formal,0.4932,0.8074,15.86
textile,industrial_textile,19.87,2.44,mixed,2,1,Nairobi,commercial,informal,0.3111,0.8622,5.75
paper,office_paper,40.71,1.42,clean,1,1,Nairobi,dump_site,semi_formal,0.6567,0.897,12.01
organic,garden_waste,1.61,6.22,contaminated,7,5,Kisumu,dump_site,informal,0.0,0.85,2.62
paper,office_paper,11.69,14.38,mixed,1,1,Nairobi,household,informal,0.2637,0.7791,9.29
paper,cardboard,3.01,6.07,clean,2,4,Nairobi,industrial,semi_formal,0.45,0.835,13.38
plastic,LDPE,26.18,5.81,mixed,10,0,Nairobi,commercial,informal,0.3476,0.7521,5.68
plastic,LDPE,28.66,3.71,clean,9,0,Nairobi,household,semi_formal,0.587,0.8431,8.39
metal,tin,2.57,0.74,contaminated,3,0,Nairobi,household,informal,0.0,0.9,10.49
paper,office_paper,28.19,0.63,mixed,8,5,Mombasa,industrial,semi_formal,0.3592,0.8078,10.39
plastic,HDPE,128.99,6.71,mixed,2,6,Nairobi,household,formal,0.775,0.9145,20.16
plastic,PET,5.17,3.36,clean,7,3,Nairobi,industrial,semi_formal,0.451,0.7914,25.86
plastic,LDPE,33.91,8.98,clean,5,3,Mombasa,household,semi_formal,0.6174,0.8546,6.3
organic,garden_waste,4.84,0.59,clean,7,1,Nairobi,commercial,semi_formal,0.45,0.9175,6.63
paper,newspaper,13.15,3.76,mixed,7,5,Nakuru,commercial,informal,0.2722,0.7816,4.9
metal,brass,51.13,10.04,mixed,4,5,Nairobi,commercial,semi_formal,0.4921,0.9492,205.75
metal,steel,21.78,16.39,mixed,6,0,Eldoret,commercial,informal,0.3221,0.9322,20.43
plastic,PP,76.83,10.66,mixed,2,4,Nairobi,household,semi_formal,0.6409,0.8635,11.76
rubber,mixed_rubber,23.05,16.74,contaminated,12,6,Mombasa,household,informal,0.1045,0.8209,5.28
plastic,PP,21.28,1.48,clean,11,1,Nairobi,industrial,semi_formal,0.5442,0.8268,13.13
e_waste,cables,24.56,6.22,clean,5,6,Nairobi,household,semi_formal,0.5633,0.9782,67.3
e_waste,mixed_ewaste,54.92,3.78,clean,7,2,Nairobi,industrial,formal,0.739,0.987,79.05
plastic,HDPE,4.09,3.45,mixed,5,1,Mombasa,household,informal,0.225,0.7055,11.4
organic,food_waste,93.61,9.9,contaminated,4,0,Nairobi,commercial,semi_formal,0.513,0.927,3.25
plastic,HDPE,3.9,12.2,clean,2,2,Nairobi,commercial,semi_formal,0.45,0.791,21.25
glass,clear_glass,3.19,6.65,contaminated,2,3,Nairobi,household,informal,0.0,0.55,2.65
e_waste,cables,25.85,6.66,contaminated,8,0,Mombasa,household,informal,0.1207,0.956,36.71
e_waste,phones,15.14,0.49,clean,7,2,Mombasa,industrial,semi_formal,0.5087,0.9754,103.14
metal,steel,11.26,9.14,mixed,12,2,Nairobi,household,informal,0.2612,0.9261,24.07
plastic,mixed_plastic,2.66,4.54,contaminated,8,0,Eldoret,industrial,informal,0.0,0.62,3.97
textile,clothes,1.57,20.94,mixed,12,2,Eldoret,commercial,informal,0.225,0.845,7.05
organic,garden_waste,4.76,0.47,clean,2,6,Nairobi,commercial,semi_formal,0.45,0.9175,6.99
plastic,PVC,7.38,0.98,clean,1,4,Nairobi,industrial,semi_formal,0.4638,0.7962,8.28
e_waste,mixed_ewaste,96.37,8.47,mixed,7,3,Nairobi,household,formal,0.754,0.9877,49.74
paper,cardboard,5.0,1.05,mixed,11,1,Nairobi,commercial,informal,0.225,0.7675,8.76
paper,cardboard,34.51,5.88,clean,7,4,Nairobi,commercial,semi_formal,0.6208,0.8863,14.21
plastic,HDPE,0.73,1.9,mixed,1,3,Nairobi,commercial,informal,0.225,0.7055,15.48
paper,mixed_paper,42.7,5.93,mixed,9,3,Mombasa,industrial,semi_formal,0.4433,0.833,6.24
plastic,PET,79.8,2.95,clean,3,6,Nairobi,dump_site,formal,0.883,0.9556,28.8
glass,mixed_glass,4.21,6.73,clean,7,4,Nairobi,household,semi_formal,0.45,0.7525,2.73
metal,steel,18.34,7.91,clean,10,6,Kisumu,household,semi_formal,0.5272,0.9527,25.83
paper,mixed_paper,44.08,4.34,clean,6,4,Kisumu,dump_site,semi_formal,0.6763,0.9029,5.4
paper,cardboard,4.49,2.59,clean,2,6,Nairobi,commercial,semi_formal,0.45,0.835,13.2
metal,steel,17.64,1.38,mixed,12,2,Kisumu,dump_site,informal,0.2982,0.9298,16.59
rubber,tyres,1.16,0.35,mixed,6,0,Eldoret,industrial,informal,0.225,0.845,10.07
metal,steel,41.07,3.88,clean,6,1,Nairobi,industrial,semi_formal,0.6588,0.9659,28.13
e_waste,phones,4.83,5.85,clean,4,0,Eldoret,household,semi_formal,0.45,0.9725,66.14
plastic,PP,8.56,9.48,contaminated,6,6,Nairobi,industrial,informal,0.0206,0.6278,6.28
plastic,PVC,24.67,5.15,clean,2,0,Kisumu,household,semi_formal,0.5639,0.8343,6.15
paper,mixed_paper,21.03,16.77,clean,12,5,Kisumu,dump_site,semi_formal,0.5428,0.8628,4.4
plastic,PET,16.09,21.65,mixed,9,4,Nairobi,household,informal,0.2892,0.7299,14.57
organic,food_waste,20.19,23.83,clean,12,1,Mombasa,industrial,semi_formal,0.538,0.9307,5.23
plastic,HDPE,17.07,1.29,contaminated,9,1,Nairobi,dump_site,informal,0.0699,0.6466,9.55
plastic,mixed_plastic,41.55,3.89,clean,1,6,Nakuru,commercial,semi_formal,0.6616,0.8714,9.84
plastic,LDPE,27.44,1.26,clean,9,1,Kisumu,commercial,semi_formal,0.5799,0.8404,6.97
metal,steel,19.84,4.33,clean,4,6,Nakuru,commercial,semi_formal,0.5359,0.9536,21.83
plastic,PVC,35.92,2.14,clean,9,6,Nairobi,dump_site,semi_formal,0.629,0.859,6.03
paper,office_paper,10.02,11.88,contaminated,2,2,Eldoret,household,informal,0.0291,0.7087,4.55
glass,mixed_glass,9.89,9.81,contaminated,3,0,Kisumu,commercial,informal,0.0283,0.5627,1.28
rubber,tyres,32.79,2.54,contaminated,10,6,Mombasa,household,informal,0.1609,0.8322,8.04
plastic,PVC,55.74,0.7,mixed,12,4,Nairobi,dump_site,semi_formal,0.5188,0.8171,5.13
rubber,mixed_rubber,43.6,3.89,clean,2,5,Nakuru,household,semi_formal,0.6735,0.9347,8.65
organic,garden_waste,32.24,3.47,contaminated,3,6,Nairobi,commercial,informal,0.1577,0.8737,4.31
e_waste,cables,16.43,23.41,mixed,4,4,Mombasa,household,informal,0.2912,0.9646,38.41
plastic,PET,27.13,28.98,clean,3,3,Nakuru,household,semi_formal,0.5781,0.8397,15.97
e_waste,mixed_ewaste,26.97,16.91,contaminated,7,0,Kisumu,industrial,informal,0.1272,0.9564,32.96
paper,newspaper,5.13,3.16,clean,4,4,Mombasa,commercial,semi_formal,0.4508,0.8352,6.13
e_waste,computers,85.21,1.02,mixed,3,2,Kisumu,industrial,semi_formal,0.6894,0.9845,74.98
organic,garden_waste,25.7,3.79,clean,5,4,Nairobi,household,semi_formal,0.5699,0.9355,6.05
plastic,mixed_plastic,23.3,2.32,clean,9,3,Nairobi,dump_site,semi_formal,0.556,0.8313,8.84
metal,tin,46.03,2.22,clean,11,5,Nakuru,commercial,semi_formal,0.6875,0.9688,15.21
plastic,LDPE,1.33,12.37,clean,1,4,Mombasa,household,semi_formal,0.45,0.791,6.27
plastic,PP,56.26,3.72,mixed,3,5,Mombasa,industrial,semi_formal,0.5218,0.8183,10.7
plastic,mixed_plastic,39.13,21.39,clean,8,1,Nairobi,dump_site,semi_formal,0.6476,0.8661,7.15
glass,colored_glass,11.73,4.04,clean,8,2,Nairobi,dump_site,semi_formal,0.489,0.77,3.57
plastic,PP,15.33,4.06,mixed,6,0,Nairobi,household,informal,0.2848,0.7282,9.1
paper,office_paper,13.14,0.47,clean,8,4,Nairobi,industrial,semi_formal,0.4971,0.8491,16.87
paper,newspaper,17.51,7.47,contaminated,1,3,Kisumu,dump_site,informal,0.0724,0.7217,2.81
paper,cardboard,43.9,18.81,mixed,8,0,Mombasa,household,semi_formal,0.4502,0.8351,9.16
plastic,mixed_plastic,40.78,6.72,clean,12,3,Nakuru,commercial,semi_formal,0.6571,0.8697,8.3
metal,tin,28.88,2.9,mixed,10,5,Mombasa,dump_site,semi_formal,0.3633,0.9363,12.9
e_waste,batteries,34.27,4.73,mixed,8,1,Nairobi,commercial,semi_formal,0.3945,0.9697,40.17
paper,office_paper,60.74,10.1,clean,9,6,Kisumu,household,formal,0.7727,0.9318,12.01
metal,tin,8.55,2.39,mixed,12,3,Kisumu,industrial,informal,0.2456,0.9246,12.64
paper,office_paper,12.05,0.37,clean,8,6,Nairobi,household,semi_formal,0.4908,0.8472,13.0
e_waste,cables,10.88,4.57,clean,3,2,Nairobi,industrial,semi_formal,0.484,0.9742,76.01
organic,garden_waste,11.84,1.67,contaminated,1,6,Mombasa,household,informal,0.0396,0.8559,3.45
paper,newspaper,4.15,0.83,clean,11,2,Nairobi,household,semi_formal,0.45,0.835,6.68
plastic,LDPE,45.62,2.98,clean,3,6,Nairobi,dump_site,semi_formal,0.6852,0.8804,6.94
paper,office_paper,12.84,3.12,clean,4,4,Nairobi,commercial,semi_formal,0.4954,0.8486,13.68
organic,food_waste,11.51,10.72,mixed,10,0,Nairobi,industrial,informal,0.2627,0.8894,4.04
paper,cardboard,22.22,1.1,clean,2,2,Nairobi,industrial,semi_formal,0.5497,0.8649,14.92
metal,brass,15.97,8.07,clean,5,0,Kisumu,dump_site,semi_formal,0.5135,0.9514,173.54
paper,office_paper,19.56,12.44,clean,11,6,Nairobi,industrial,semi_formal,0.5343,0.8603,12.67
textile,clothes,74.95,4.52,clean,4,5,Mombasa,commercial,formal,0.855,0.971,10.87
e_waste,batteries,18.4,4.27,mixed,3,4,Eldoret,commercial,informal,0.3026,0.9651,35.46
paper,cardboard,16.68,33.52,clean,1,0,Nakuru,dump_site,semi_formal,0.5176,0.8553,5.62
paper,newspaper,33.61,8.83,contaminated,6,2,Nakuru,commercial,informal,0.1656,0.7497,3.85
organic,food_waste,8.67,1.62,contaminated,3,2,Nairobi,dump_site,informal,0.0212,0.8532,2.47
paper,newspaper,4.35,8.6,mixed,9,6,Nakuru,industrial,informal,0.225,0.7675,4.53
e_waste,cables,13.57,0.61,clean,3,5,Kisumu,dump_site,semi_formal,0.4996,0.975,47.79
plastic,HDPE,40.06,7.57,clean,2,1,Nairobi,household,semi_formal,0.653,0.8681,19.49
organic,garden_waste,4.63,2.06,clean,7,4,Nakuru,commercial,semi_formal,0.45,0.9175,5.28
e_waste,phones,32.31,12.3,clean,4,5,Nairobi,industrial,semi_formal,0.6081,0.9804,100.94
organic,garden_waste,9.06,5.17,clean,11,6,Kisumu,commercial,semi_formal,0.4735,0.921,5.75
plastic,PET,10.05,0.2,mixed,10,1,Nairobi,industrial,informal,0.2543,0.7166,20.4
plastic,PET,3.98,5.19,contaminated,4,3,Nakuru,dump_site,informal,0.0,0.62,6.28
textile,clothes,2.84,7.17,clean,1,3,Mombasa,industrial,semi_formal,0.45,0.89,13.93
rubber,mixed_rubber,3.97,6.96,contaminated,9,4,Nairobi,commercial,informal,0.0,0.8,5.02
glass,mixed_glass,15.8,1.61,clean,12,0,Nairobi,industrial,semi_formal,0.5125,0.7806,3.9
organic,garden_waste,12.1,12.43,mixed,6,0,Kisumu,industrial,informal,0.2661,0.8899,4.57
textile,industrial_textile,34.04,2.48,mixed,5,3,Kisumu,household,semi_formal,0.3931,0.8786,4.21
metal,copper,43.83,9.34,mixed,5,1,Nairobi,commercial,semi_formal,0.4498,0.945,339.08
metal,copper,59.63,2.06,mixed,9,3,Nairobi,commercial,semi_formal,0.5413,0.9541,459.09
plastic,PET,18.92,22.58,clean,5,1,Kisumu,industrial,semi_formal,0.5306,0.8216,19.37
plastic,LDPE,10.96,8.26,clean,9,5,Mombasa,commercial,semi_formal,0.4845,0.8041,8.17
glass,mixed_glass,1.1,13.93,mixed,9,4,Nairobi,household,informal,0.225,0.6512,1.77
e_waste,cables,1.99,19.19,contaminated,5,3,Mombasa,dump_site,informal,0.0,0.95,26.13
plastic,PVC,24.67,13.78,mixed,11,4,Nairobi,dump_site,informal,0.3389,0.7488,4.13
plastic,PP,8.02,2.74,contaminated,8,5,Nairobi,dump_site,informal,0.0175,0.6267,5.65
plastic,LDPE,17.69,1.77,clean,1,1,Nairobi,industrial,semi_formal,0.5235,0.8189,9.17
textile,industrial_textile,8.53,10.07,clean,10,5,Nairobi,household,semi_formal,0.4704,0.8941,5.03
plastic,PP,28.55,1.08,contaminated,2,2,Nairobi,industrial,informal,0.1363,0.6718,8.04
