waste_type,sub_type,weight_kg,distance_km,condition,month,day_of_week,county,collection_point,market_tier,tier_score,tier_multiplier,price_per_kg
metal,copper,12.53,9.26,clean,4,0,Kiambu,dump_site,formal,1.0,1.0,242.02
glass,mixed_glass,0.55,24.39,clean,9,6,Nairobi,household,formal,1.0,1.0,2.82
plastic,PVC,20.15,57.68,mixed,1,4,Nairobi,commercial,semi_formal,0.4545,0.7927,4.74
metal,copper,53.85,6.39,mixed,2,0,Eldoret,commercial,semi_formal,0.4545,0.9455,269.16
metal,steel_light,18.71,0.79,mixed,10,1,Kiambu,commercial,semi_formal,0.4545,0.9455,19.99
plastic,PP,2.11,9.04,clean,5,2,Kiambu,commercial,formal,1.0,1.0,14.07
rubber,mixed_rubber,29.82,11.03,clean,7,1,Nairobi,household,formal,1.0,1.0,9.24
metal,steel,7.76,9.8,clean,2,2,Kisumu,household,formal,1.0,1.0,28.08
paper,newspaper,18.55,15.13,clean,8,2,Kiambu,industrial,formal,1.0,1.0,7.79
plastic,PVC,23.91,2.98,clean,11,5,Kajiado,commercial,formal,1.0,1.0,6.96
plastic,PVC,61.2,0.7,clean,6,1,Nakuru,household,formal,1.0,1.0,6.02
plastic,PP,14.46,9.18,mixed,7,1,Machakos,commercial,semi_formal,0.4545,0.7927,6.02
plastic,mixed_plastic,27.96,18.14,clean,4,0,Nakuru,commercial,formal,1.0,1.0,7.08
textile,clothes,37.36,2.42,clean,4,2,Kisumu,household,formal,1.0,1.0,6.37
metal,steel,2.32,5.32,mixed,8,1,Mombasa,household,semi_formal,0.4545,0.9455,23.0
organic,garden_waste,14.29,30.0,clean,12,5,Kajiado,industrial,formal,1.0,1.0,6.26
e_waste,batteries,30.54,0.53,mixed,10,6,Kajiado,commercial,semi_formal,0.4545,0.9727,25.54
plastic,PET,19.97,1.22,clean,2,6,Kiambu,industrial,formal,1.0,1.0,17.29
plastic,PP,11.82,7.56,clean,7,3,Kisumu,industrial,formal,1.0,1.0,17.35
e_waste,batteries,35.62,9.57,clean,7,2,Kiambu,household,formal,1.0,1.0,41.67
textile,industrial_textile,24.53,3.17,clean,9,6,Mombasa,commercial,formal,1.0,1.0,6.01
metal,steel_light,19.93,12.57,mixed,1,4,Kajiado,commercial,semi_formal,0.4545,0.9455,14.69
plastic,PVC,14.43,40.36,contaminated,8,2,Machakos,dump_site,informal,0.0,0.62,3.21
metal,tin,26.07,9.36,mixed,10,2,Nairobi,household,semi_formal,0.4545,0.9455,11.15
metal,tin,7.77,9.09,mixed,11,1,Mombasa,commercial,semi_formal,0.4545,0.9455,17.17
e_waste,batteries,14.19,8.68,clean,9,2,Nairobi,commercial,formal,1.0,1.0,47.18
textile,industrial_textile,21.73,3.01,mixed,10,1,Nairobi,household,semi_formal,0.4545,0.8909,3.88
organic,food_waste,29.59,7.26,contaminated,3,1,Mombasa,industrial,informal,0.0,0.85,6.4
glass,colored_glass,20.19,2.73,contaminated,4,6,Nakuru,household,informal,0.0,0.55,0.76
plastic,PP,23.21,23.94,clean,2,5,Eldoret,household,formal,1.0,1.0,5.91
plastic,PVC,39.7,1.13,mixed,10,0,Kajiado,household,semi_formal,0.4545,0.7927,5.81
plastic,mixed_plastic,28.79,14.73,contaminated,1,3,Nairobi,commercial,informal,0.0,0.62,4.29
plastic,PVC,88.08,4.84,clean,1,5,Nairobi,industrial,formal,1.0,1.0,10.08
textile,industrial_textile,7.99,1.79,mixed,11,3,Kiambu,industrial,semi_formal,0.4545,0.8909,5.03
glass,clear_glass,20.94,5.44,mixed,6,2,Nairobi,dump_site,semi_formal,0.4545,0.7545,1.99
plastic,LDPE,21.21,20.26,mixed,2,6,Mombasa,commercial,semi_formal,0.4545,0.7927,4.42
plastic,PP,35.01,1.41,clean,12,1,Kisumu,industrial,formal,1.0,1.0,10.34
plastic,mixed_plastic,24.05,8.17,clean,12,6,Nakuru,household,formal,1.0,1.0,7.49
rubber,tyres,17.22,3.45,mixed,1,3,Eldoret,household,semi_formal,0.4545,0.8909,8.35
plastic,PET,24.09,0.2,clean,12,3,Nairobi,industrial,formal,1.0,1.0,16.66
plastic,LDPE,21.69,8.38,mixed,2,6,Nairobi,household,semi_formal,0.4545,0.7927,4.94
e_waste,batteries,12.51,0.53,mixed,2,3,Kiambu,commercial,semi_formal,0.4545,0.9727,48.52
organic,garden_waste,39.86,15.32,clean,9,3,Eldoret,household,formal,1.0,1.0,4.15
e_waste,computers,16.09,0.21,mixed,5,0,Mombasa,household,semi_formal,0.4545,0.9727,50.68
metal,steel_heavy,20.34,12.99,mixed,4,4,Nairobi,household,semi_formal,0.4545,0.9455,24.65
metal,tin,51.25,9.32,mixed,4,5,Nakuru,dump_site,semi_formal,0.4545,0.9455,6.07
metal,steel,62.26,12.58,contaminated,7,1,Nairobi,dump_site,informal,0.0,0.9,16.12
metal,steel_light,19.77,5.19,mixed,7,0,Nakuru,household,semi_formal,0.4545,0.9455,13.57
metal,brass,7.38,1.4,contaminated,11,1,Nairobi,household,informal,0.0,0.9,120.7
organic,garden_waste,30.25,8.86,contaminated,9,5,Nairobi,household,informal,0.0,0.85,4.38
metal,copper,16.99,8.17,mixed,4,1,Kajiado,household,semi_formal,0.4545,0.9455,221.07
plastic,PP,39.27,7.08,clean,10,3,Kajiado,dump_site,formal,1.0,1.0,7.72
metal,steel_heavy,2.31,1.34,clean,4,1,Nairobi,commercial,formal,1.0,1.0,43.52
glass,clear_glass,83.4,10.84,contaminated,11,1,Nairobi,household,informal,0.0,0.55,1.23
e_waste,computers,29.02,2.43,mixed,5,4,Kisumu,household,semi_formal,0.4545,0.9727,50.62
metal,copper,9.06,20.46,mixed,9,2,Kiambu,commercial,semi_formal,0.4545,0.9455,285.04
organic,food_waste,18.59,4.71,clean,7,0,Nairobi,commercial,formal,1.0,1.0,11.54
metal,tin,88.44,2.71,clean,12,5,Nairobi,commercial,formal,1.0,1.0,21.15
metal,brass,39.09,24.56,mixed,9,3,Nairobi,commercial,semi_formal,0.4545,0.9455,183.99
metal,steel_heavy,4.83,12.66,contaminated,5,6,Mombasa,industrial,informal,0.0,0.9,34.73
plastic,LDPE,13.06,2.97,clean,11,4,Kiambu,commercial,formal,1.0,1.0,8.71
e_waste,batteries,26.81,19.62,mixed,7,6,Nairobi,commercial,semi_formal,0.4545,0.9727,48.18
paper,mixed_paper,23.57,1.19,clean,6,5,Mombasa,commercial,formal,1.0,1.0,7.7
plastic,PET,7.82,3.21,mixed,12,6,Nakuru,household,semi_formal,0.4545,0.7927,6.52
paper,cardboard,93.8,20.35,clean,5,0,Nairobi,household,formal,1.0,1.0,4.65
paper,office_paper,65.25,44.05,clean,5,1,Mombasa,commercial,formal,1.0,1.0,5.78
rubber,mixed_rubber,53.05,9.24,clean,7,4,Nairobi,household,formal,1.0,1.0,7.07
metal,aluminum,57.47,0.72,mixed,8,5,Kisumu,commercial,semi_formal,0.4545,0.9455,17.2
plastic,PVC,41.02,6.26,clean,12,1,Kajiado,household,formal,1.0,1.0,6.42
paper,newspaper,39.28,17.25,clean,12,3,Mombasa,household,formal,1.0,1.0,5.38
paper,mixed_paper,13.12,1.37,mixed,6,3,Nakuru,household,semi_formal,0.4545,0.8364,3.41
metal,tin,11.43,2.73,mixed,3,3,Nairobi,dump_site,semi_formal,0.4545,0.9455,15.59
paper,mixed_paper,26.62,21.04,contaminated,6,2,Eldoret,household,informal,0.0,0.7,2.07
plastic,PVC,13.04,31.54,mixed,10,0,Kisumu,commercial,semi_formal,0.4545,0.7927,4.31
plastic,HDPE,16.28,17.44,mixed,2,4,Nairobi,household,semi_formal,0.4545,0.7927,9.86
rubber,mixed_rubber,36.72,27.56,contaminated,12,6,Kisumu,household,informal,0.0,0.8,4.68
plastic,PP,7.07,6.63,mixed,8,6,Kajiado,household,semi_formal,0.4545,0.7927,6.49
e_waste,phones,19.59,10.03,clean,5,6,Nairobi,household,formal,1.0,1.0,85.96
e_waste,mixed_ewaste,22.59,4.58,clean,7,4,Nairobi,dump_site,formal,1.0,1.0,42.18
metal,steel_light,18.19,14.28,clean,7,4,Nairobi,household,formal,1.0,1.0,18.24
paper,cardboard,4.16,1.36,contaminated,12,1,Mombasa,household,informal,0.0,0.7,3.74
e_waste,mixed_ewaste,1.75,1.08,mixed,9,0,Kiambu,household,semi_formal,0.4545,0.9727,46.25
plastic,LDPE,24.65,5.98,clean,1,3,Mombasa,industrial,formal,1.0,1.0,8.06
plastic,PP,23.56,16.2,clean,1,4,Mombasa,household,formal,1.0,1.0,9.72
rubber,tyres,9.71,1.04,mixed,8,1,Nairobi,household,semi_formal,0.4545,0.8909,14.83
metal,steel,59.96,2.95,clean,9,0,Kajiado,commercial,formal,1.0,1.0,27.62
plastic,PP,26.12,13.79,mixed,12,1,Nairobi,household,semi_formal,0.4545,0.7927,6.04
metal,copper,2.98,3.2,contaminated,12,2,Kiambu,commercial,informal,0.0,0.9,324.44
organic,garden_waste,31.32,2.5,contaminated,8,5,Eldoret,commercial,informal,0.0,0.85,3.56
rubber,mixed_rubber,7.36,13.02,clean,5,6,Nairobi,dump_site,formal,1.0,1.0,7.22
metal,steel_light,101.25,3.53,mixed,7,3,Kisumu,industrial,semi_formal,0.4545,0.9455,14.12
plastic,PET,8.0,21.32,clean,3,1,Nakuru,household,formal,1.0,1.0,10.14
paper,newspaper,56.07,0.2,mixed,6,3,Eldoret,household,semi_formal,0.4545,0.8364,3.07
metal,brass,34.04,6.35,mixed,10,3,Nairobi,commercial,semi_formal,0.4545,0.9455,202.09
plastic,HDPE,73.73,9.67,clean,9,4,Nairobi,commercial,formal,1.0,1.0,15.96
plastic,PVC,19.69,8.22,mixed,2,5,Kiambu,household,semi_formal,0.4545,0.7927,7.08
plastic,HDPE,51.9,2.36,mixed,3,4,Nairobi,household,semi_formal,0.4545,0.7927,7.71
plastic,PP,22.47,14.55,mixed,6,4,Nairobi,commercial,semi_formal,0.4545,0.7927,7.58
paper,cardboard,18.46,8.86,clean,10,1,Nairobi,commercial,formal,1.0,1.0,10.19
e_waste,computers,73.44,28.25,clean,10,2,Nairobi,commercial,formal,1.0,1.0,47.71
textile,clothes,24.47,13.08,mixed,6,5,Kisumu,household,semi_formal,0.4545,0.8909,5.21
textile,clothes,57.08,0.46,clean,7,2,Nairobi,industrial,formal,1.0,1.0,9.16
metal,copper,16.13,23.69,clean,4,1,Mombasa,household,formal,1.0,1.0,293.63
paper,cardboard,26.73,17.59,mixed,9,4,Kajiado,household,semi_formal,0.4545,0.8364,4.36
paper,cardboard,31.43,2.02,clean,5,3,Mombasa,household,formal,1.0,1.0,6.7
rubber,tyres,83.43,12.83,clean,6,0,Mombasa,household,formal,1.0,1.0,7.13
plastic,PVC,8.94,19.8,clean,7,5,Nairobi,industrial,formal,1.0,1.0,11.57
rubber,tyres,12.31,2.25,clean,4,1,Nairobi,industrial,formal,1.0,1.0,18.21
glass,clear_glass,16.55,8.21,mixed,1,6,Kisumu,household,semi_formal,0.4545,0.7545,1.73
metal,brass,11.06,10.69,mixed,2,2,Eldoret,dump_site,semi_formal,0.4545,0.9455,113.52
plastic,mixed_plastic,12.35,10.29,clean,8,1,Nairobi,commercial,formal,1.0,1.0,11.02
organic,garden_waste,50.72,1.85,mixed,12,0,Nairobi,household,semi_formal,0.4545,0.9182,4.66
metal,steel_light,13.29,16.28,mixed,1,6,Mombasa,household,semi_formal,0.4545,0.9455,12.96
rubber,mixed_rubber,55.31,1.77,clean,9,2,Mombasa,commercial,formal,1.0,1.0,9.67
organic,food_waste,30.75,2.93,mixed,12,3,Mombasa,household,semi_formal,0.4545,0.9182,5.06
glass,mixed_glass,72.15,13.82,mixed,6,0,Kiambu,commercial,semi_formal,0.4545,0.7545,1.83
plastic,PVC,56.0,1.92,contaminated,12,0,Kiambu,household,informal,0.0,0.62,3.94
paper,newspaper,50.18,0.71,mixed,5,5,Eldoret,dump_site,semi_formal,0.4545,0.8364,2.63
plastic,PVC,45.6,1.85,clean,6,5,Kiambu,commercial,formal,1.0,1.0,10.06
plastic,mixed_plastic,23.79,5.47,clean,6,6,Nairobi,commercial,formal,1.0,1.0,10.67
rubber,mixed_rubber,10.91,3.31,contaminated,8,5,Nairobi,household,informal,0.0,0.8,5.47
organic,garden_waste,36.69,3.57,mixed,4,2,Machakos,industrial,semi_formal,0.4545,0.9182,6.13
glass,mixed_glass,37.47,3.36,clean,11,5,Kiambu,commercial,formal,1.0,1.0,2.97
plastic,LDPE,29.91,20.29,clean,1,4,Nakuru,household,formal,1.0,1.0,5.48
plastic,PP,22.43,9.98,mixed,3,3,Nakuru,household,semi_formal,0.4545,0.7927,6.45
rubber,mixed_rubber,14.08,9.18,mixed,1,6,Mombasa,industrial,semi_formal,0.4545,0.8909,9.15
plastic,PVC,6.46,3.29,clean,6,0,Nairobi,household,formal,1.0,1.0,10.46
paper,newspaper,15.4,0.45,clean,8,4,Nairobi,industrial,formal,1.0,1.0,9.67
paper,cardboard,23.84,3.21,clean,12,2,Mombasa,dump_site,formal,1.0,1.0,7.07
metal,tin,40.83,12.64,mixed,1,6,Kiambu,household,semi_formal,0.4545,0.9455,14.23
paper,office_paper,38.31,5.43,mixed,1,3,Nairobi,household,semi_formal,0.4545,0.8364,5.46
paper,newspaper,29.77,1.5,clean,7,3,Nairobi,commercial,formal,1.0,1.0,8.19
organic,food_waste,73.95,0.2,clean,3,2,Mombasa,commercial,formal,1.0,1.0,7.18
e_waste,batteries,21.88,5.17,clean,9,4,Kiambu,commercial,formal,1.0,1.0,38.51
metal,aluminum,7.09,5.64,clean,10,2,Kisumu,commercial,formal,1.0,1.0,23.2
plastic,LDPE,17.96,29.31,clean,10,3,Nairobi,household,formal,1.0,1.0,7.07
paper,office_paper,16.54,9.31,clean,4,3,Kisumu,household,formal,1.0,1.0,5.43
plastic,HDPE,23.33,0.24,mixed,5,5,Nairobi,industrial,semi_formal,0.4545,0.7927,8.79
metal,steel_light,6.1,17.53,contaminated,11,6,Nairobi,household,informal,0.0,0.9,12.03
paper,office_paper,39.5,3.6,clean,3,1,Nairobi,household,formal,1.0,1.0,5.76
paper,mixed_paper,31.82,15.25,mixed,2,5,Kisumu,commercial,semi_formal,0.4545,0.8364,4.14
plastic,PET,7.54,23.75,clean,11,4,Kisumu,household,formal,1.0,1.0,8.41
e_waste,phones,28.26,0.35,contaminated,3,2,Mombasa,household,informal,0.0,0.95,56.71
metal,aluminum,72.16,2.27,mixed,11,2,Machakos,household,semi_formal,0.4545,0.9455,14.04
metal,aluminum,36.51,31.25,clean,9,3,Nairobi,commercial,formal,1.0,1.0,19.57
metal,brass,12.56,7.14,mixed,7,1,Mombasa,commercial,semi_formal,0.4545,0.9455,249.17
plastic,HDPE,52.43,13.21,mixed,3,2,Nairobi,dump_site,semi_formal,0.4545,0.7927,6.75
paper,cardboard,18.71,14.0,mixed,9,6,Kiambu,commercial,semi_formal,0.4545,0.8364,5.45
e_waste,phones,14.07,1.18,mixed,2,4,Kajiado,commercial,semi_formal,0.4545,0.9727,77.44
paper,newspaper,20.99,6.51,clean,10,4,Nakuru,household,formal,1.0,1.0,4.76
metal,steel_light,54.55,2.48,clean,3,4,Mombasa,industrial,formal,1.0,1.0,21.42
glass,clear_glass,11.9,9.8,clean,2,5,Mombasa,household,formal,1.0,1.0,2.91
paper,mixed_paper,33.4,6.87,clean,2,1,Nakuru,household,formal,1.0,1.0,4.23
plastic,LDPE,21.09,3.23,mixed,7,1,Mombasa,household,semi_formal,0.4545,0.7927,4.33
glass,clear_glass,22.04,4.74,contaminated,5,0,Nakuru,commercial,informal,0.0,0.55,1.76
e_waste,cables,7.09,2.93,contaminated,5,0,Nairobi,household,informal,0.0,0.95,44.84
plastic,mixed_plastic,38.92,4.46,contaminated,12,0,Mombasa,household,informal,0.0,0.62,4.8
plastic,PET,39.31,8.03,clean,2,0,Nakuru,commercial,formal,1.0,1.0,12.08
paper,office_paper,23.14,1.34,mixed,6,3,Nairobi,commercial,semi_formal,0.4545,0.8364,7.85
plastic,PP,10.29,0.6,clean,10,4,Nairobi,industrial,formal,1.0,1.0,12.34
metal,steel_heavy,40.06,12.9,contaminated,10,3,Nairobi,industrial,informal,0.0,0.9,22.18
plastic,mixed_plastic,19.16,1.34,clean,11,6,Kiambu,household,formal,1.0,1.0,8.06
paper,mixed_paper,48.45,10.88,mixed,4,6,Nakuru,commercial,semi_formal,0.4545,0.8364,4.15
metal,tin,54.64,3.61,clean,9,4,Nairobi,commercial,formal,1.0,1.0,21.75
plastic,PVC,92.92,8.24,mixed,1,2,Nakuru,commercial,semi_formal,0.4545,0.7927,4.45
rubber,mixed_rubber,10.86,4.91,mixed,11,0,Nairobi,dump_site,semi_formal,0.4545,0.8909,4.75
glass,colored_glass,53.39,6.88,clean,8,5,Mombasa,household,formal,1.0,1.0,1.79
textile,clothes,57.93,3.21,mixed,2,5,Mombasa,commercial,semi_formal,0.4545,0.8909,5.41
plastic,PET,1.44,1.15,mixed,12,2,Kajiado,commercial,semi_formal,0.4545,0.7927,9.92
paper,cardboard,4.94,0.2,clean,12,2,Eldoret,household,formal,1.0,1.0,7.41
textile,clothes,14.52,12.67,clean,1,2,Nakuru,household,formal,1.0,1.0,7.29
paper,office_paper,32.54,15.34,clean,12,1,Kiambu,household,formal,1.0,1.0,6.38
paper,mixed_paper,22.14,6.56,mixed,10,3,Nairobi,household,semi_formal,0.4545,0.8364,3.18
e_waste,computers,5.03,5.88,clean,1,1,Kajiado,household,formal,1.0,1.0,68.56
organic,garden_waste,25.28,0.4,clean,1,5,Kiambu,household,formal,1.0,1.0,5.56
metal,brass,38.11,3.95,mixed,12,6,Kiambu,dump_site,semi_formal,0.4545,0.9455,168.88
e_waste,cables,27.24,2.95,clean,7,5,Nairobi,household,formal,1.0,1.0,42.52
organic,food_waste,29.05,12.97,mixed,8,1,Kiambu,commercial,semi_formal,0.4545,0.9182,6.25
plastic,LDPE,40.89,36.15,clean,6,4,Nairobi,household,formal,1.0,1.0,5.86
organic,garden_waste,44.49,22.64,mixed,11,2,Nairobi,household,semi_formal,0.4545,0.9182,2.97
paper,cardboard,66.65,3.13,mixed,1,2,Kisumu,commercial,semi_formal,0.4545,0.8364,5.28
paper,cardboard,22.27,1.08,mixed,9,2,Nairobi,dump_site,semi_formal,0.4545,0.8364,5.54
e_waste,computers,20.05,19.0,clean,2,2,Nairobi,household,formal,1.0,1.0,73.28
plastic,PET,9.04,12.98,mixed,7,0,Nairobi,commercial,semi_formal,0.4545,0.7927,9.9
glass,colored_glass,23.85,12.2,mixed,9,0,Kajiado,household,semi_formal,0.4545,0.7545,1.47
organic,garden_waste,25.78,12.53,contaminated,11,2,Kiambu,household,informal,0.0,0.85,2.53
glass,mixed_glass,12.71,27.38,contaminated,7,2,Kisumu,household,informal,0.0,0.55,0.94
plastic,LDPE,17.68,4.35,mixed,1,4,Eldoret,commercial,semi_formal,0.4545,0.7927,4.07
paper,office_paper,28.33,13.22,clean,7,2,Eldoret,commercial,formal,1.0,1.0,6.43
rubber,mixed_rubber,20.17,1.2,clean,5,1,Nakuru,commercial,formal,1.0,1.0,6.24
plastic,PVC,74.71,7.98,mixed,10,2,Kisumu,household,semi_formal,0.4545,0.7927,5.03
metal,brass,14.71,3.11,clean,3,5,Nairobi,commercial,formal,1.0,1.0,354.6
metal,aluminum,94.27,27.98,clean,8,5,Kisumu,household,formal,1.0,1.0,14.63
metal,steel_heavy,16.5,5.98,contaminated,4,0,Kiambu,household,informal,0.0,0.9,21.17
e_waste,batteries,5.02,12.85,clean,8,3,Kisumu,commercial,formal,1.0,1.0,45.98
plastic,PET,10.49,0.51,contaminated,1,0,Nairobi,household,informal,0.0,0.62,7.45
metal,steel_light,71.13,30.26,mixed,6,6,Kiambu,dump_site,semi_formal,0.4545,0.9455,8.12
paper,office_paper,29.22,43.95,clean,10,0,Machakos,commercial,formal,1.0,1.0,5.51
metal,steel_light,17.71,10.16,mixed,8,3,Mombasa,household,semi_formal,0.4545,0.9455,14.93
paper,mixed_paper,62.97,0.22,clean,7,4,Mombasa,household,formal,1.0,1.0,4.74
e_waste,cables,42.17,7.27,mixed,12,4,Eldoret,commercial,semi_formal,0.4545,0.9727,38.69
organic,garden_waste,58.47,2.88,mixed,7,0,Nairobi,household,semi_formal,0.4545,0.9182,4.96
metal,steel_heavy,22.65,7.04,contaminated,1,0,Nairobi,household,informal,0.0,0.9,25.34
plastic,HDPE,19.23,5.35,clean,9,4,Mombasa,commercial,formal,1.0,1.0,13.34
metal,tin,65.92,0.2,mixed,6,3,Mombasa,household,semi_formal,0.4545,0.9455,9.36
plastic,mixed_plastic,20.38,1.83,clean,3,5,Nairobi,dump_site,formal,1.0,1.0,8.98
metal,steel_light,91.17,11.36,clean,10,0,Nairobi,household,formal,1.0,1.0,18.4
