waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,price_per_kg
paper,cardboard,6.592,3.95,0.7162,6,6,0.5992,15.18
plastic,PET,0.7,8.658,0.7085,12,4,0.419,23.68
paper,cardboard,27.831,4.363,0.7665,10,3,0.2988,10.54
paper,cardboard,5.865,13.058,0.7163,6,5,0.4935,11.78
plastic,PET,22.613,8.262,0.5532,1,1,0.594,24.84
plastic,PP,3.931,1.659,0.6918,4,4,0.688,17.37
metal,aluminum,0.483,1.05,0.8996,7,3,0.2667,131.9
plastic,mixed_plastic,106.149,2.184,0.5995,8,1,0.3837,11.91
textile,clothes,5.245,1.456,0.9019,12,4,0.5489,18.65
metal,aluminum,1.35,4.158,0.281,2,5,0.3419,107.5
paper,cardboard,17.724,2.834,0.6529,5,5,0.8579,14.8
metal,steel,51.575,3.711,0.5359,4,5,0.724,25.12
plastic,PET,3.515,6.952,0.2183,12,5,0.5911,19.9
rubber,tyres,3.979,0.904,0.8333,2,3,0.6149,21.08
paper,office_paper,5.963,1.323,0.778,3,0,0.3571,14.01
organic,food_waste,1.182,2.075,0.9143,4,6,0.4556,4.52
plastic,HDPE,1.957,18.54,0.7017,2,3,0.705,16.71
paper,mixed_paper,38.028,3.44,0.8639,8,4,0.3347,9.17
paper,cardboard,3.824,4.466,0.8533,7,0,0.4598,12.51
textile,clothes,1.64,24.993,0.5463,7,6,0.7865,13.59
metal,steel,2.605,3.059,0.8813,11,6,0.593,42.41
paper,mixed_paper,16.239,5.478,0.913,6,6,0.3908,8.41
plastic,HDPE,0.419,17.16,0.416,4,1,0.6184,15.26
paper,cardboard,6.083,16.143,0.3294,5,5,0.1773,6.25
metal,aluminum,86.027,22.346,0.6291,10,4,0.7935,123.4
paper,cardboard,51.279,2.735,0.9347,7,1,0.8342,16.6
plastic,PET,8.916,3.123,0.8839,3,3,0.5949,30.26
organic,food_waste,21.753,1.521,0.7051,9,3,0.6905,6.7
textile,clothes,21.503,4.012,0.6215,9,4,0.4064,16.09
plastic,PET,3.853,6.89,0.7807,3,0,0.5025,28.31
metal,aluminum,13.596,13.634,0.9005,7,3,0.925,157.29
plastic,PET,38.333,24.551,0.8991,7,4,0.5398,27.6
glass,clear_glass,0.984,7.389,0.8441,3,5,0.2002,10.28
plastic,HDPE,8.953,1.733,0.435,1,5,0.9379,19.8
glass,clear_glass,6.916,18.379,0.7007,9,4,0.5568,8.9
e_waste,phones,5.072,6.49,0.778,8,4,0.871,128.53
e_waste,batteries,4.561,0.262,0.6791,9,0,0.5659,62.46
plastic,PET,5.918,13.024,0.8548,5,5,0.5247,28.72
textile,clothes,6.545,8.376,0.8086,7,2,0.6616,20.35
plastic,PVC,17.156,11.721,0.853,12,3,0.6799,10.67
plastic,mixed_plastic,7.939,0.278,0.6543,3,3,0.6183,11.11
metal,steel,3.62,6.09,0.7563,8,6,0.2663,22.46
paper,cardboard,1.636,8.611,0.7185,2,2,0.4803,8.61
organic,food_waste,2.542,4.596,0.797,1,2,0.6759,3.18
organic,food_waste,6.131,0.1,0.4997,12,5,0.5086,4.85
paper,cardboard,1.921,12.002,0.4622,2,4,0.0759,5.84
rubber,tyres,13.944,2.986,0.7513,8,2,0.5905,20.69
plastic,PET,7.509,13.578,0.6766,7,2,0.4334,24.57
metal,aluminum,17.676,13.716,0.8901,10,5,0.6862,183.99
plastic,PET,2.082,2.885,0.8123,7,5,0.1713,30.74
textile,industrial_textile,1.653,4.895,0.6178,9,1,0.663,7.35
plastic,HDPE,17.519,19.759,0.8751,11,2,0.4838,26.61
plastic,PP,5.238,8.68,0.3205,10,5,0.3947,12.03
paper,office_paper,3.515,8.165,0.4395,9,0,0.5529,10.72
rubber,tyres,10.365,1.27,0.9072,2,1,0.2398,20.74
textile,clothes,9.912,5.661,0.9768,3,1,0.8583,18.67
e_waste,computers,0.993,14.91,0.8766,6,3,0.5576,75.41
textile,clothes,23.608,1.4,0.9191,8,3,0.3847,13.63
textile,clothes,2.739,2.143,0.7496,9,2,0.3248,17.05
metal,aluminum,34.468,5.442,0.9209,10,0,0.5448,137.55
paper,newspaper,0.905,4.635,0.3171,2,4,0.3471,4.18
e_waste,phones,6.559,0.555,0.6091,3,5,0.4636,132.42
glass,clear_glass,3.587,26.974,0.6559,2,1,0.5413,5.4
paper,newspaper,0.419,1.957,0.5326,7,4,0.36,6.39
plastic,PP,9.873,7.944,0.7385,8,5,0.3176,16.02
e_waste,phones,0.445,7.214,0.8995,2,3,0.5564,164.66
plastic,HDPE,3.158,7.425,0.7135,11,4,0.7276,20.85
textile,clothes,16.863,24.29,0.6047,4,1,0.2223,8.44
plastic,PET,2.373,33.873,0.7928,8,6,0.3112,22.21
plastic,PVC,1.515,10.421,0.7757,10,6,0.363,8.13
organic,food_waste,11.71,1.763,0.3883,1,4,0.3903,3.88
plastic,PET,3.322,13.095,0.6875,11,6,0.5548,26.68
plastic,PET,2.756,1.956,0.4701,12,4,0.5061,23.51
metal,steel,20.697,5.854,0.4488,12,4,0.7684,31.34
organic,food_waste,1.104,3.352,0.538,2,5,0.8093,4.72
plastic,PET,2.582,0.847,0.9208,5,0,0.1935,27.63
paper,cardboard,12.676,3.935,0.911,3,1,0.4075,13.14
e_waste,phones,1.022,0.993,0.6533,6,1,0.6299,89.2
rubber,tyres,37.729,0.1,0.7315,12,4,0.4944,24.88
metal,brass,3.455,0.629,0.9237,10,1,0.4822,366.04
plastic,mixed_plastic,12.8,6.059,0.9071,10,2,0.6342,12.59
plastic,PET,12.768,3.961,0.6347,6,3,0.6556,27.87
plastic,PET,3.733,1.848,0.6736,12,5,0.2166,27.96
plastic,PET,2.522,19.211,0.8977,12,3,0.4131,24.4
glass,clear_glass,4.256,0.535,0.8845,10,0,0.3823,12.37
plastic,PET,10.54,19.742,0.8602,10,4,0.4725,28.77
metal,steel,1.372,20.222,0.5719,8,2,0.4365,25.41
glass,clear_glass,1.058,4.867,0.9309,2,0,0.6505,9.41
metal,tin,26.604,0.347,0.3866,4,4,0.4526,20.76
plastic,PET,1.856,20.736,0.8669,10,1,0.8275,28.65
organic,garden_waste,6.854,18.609,0.6906,4,3,0.7077,6.11
e_waste,batteries,3.516,2.481,0.4826,3,6,0.3529,56.47
e_waste,computers,3.708,2.183,0.6687,12,1,0.5977,114.64
plastic,HDPE,24.94,4.536,0.7402,6,6,0.4105,22.75
plastic,mixed_plastic,4.046,0.397,0.605,11,3,0.24,10.09
textile,clothes,2.921,1.382,0.9134,4,6,0.6196,17.58
paper,newspaper,3.242,24.032,0.9724,5,5,0.3635,6.62
paper,mixed_paper,2.449,4.654,0.7534,5,5,0.3267,6.87
paper,cardboard,2.005,7.446,0.5448,5,1,0.5477,10.23
glass,colored_glass,2.461,4.661,0.6416,6,5,0.1929,6.2
rubber,tyres,32.978,0.664,0.4138,4,2,0.2055,13.25
plastic,PET,10.525,4.947,0.807,10,6,0.2968,26.35
textile,industrial_textile,2.962,0.718,0.4486,4,6,0.4692,6.37
plastic,PP,14.556,9.081,0.5104,6,4,0.7531,14.47
metal,steel,0.667,33.485,0.6409,11,6,0.5926,30.54
metal,tin,23.355,3.209,0.5602,6,3,0.4314,28.09
plastic,PET,21.204,1.369,0.4151,1,0,0.4255,18.16
plastic,PET,65.602,7.267,0.801,1,6,0.2956,21.73
paper,cardboard,15.087,19.914,0.6463,6,3,0.67,10.78
rubber,tyres,7.574,3.477,0.7342,8,0,0.4653,18.84
metal,aluminum,21.102,19.349,0.9218,12,0,0.6615,124.74
textile,clothes,2.115,0.406,0.6736,2,5,0.2353,12.62
organic,food_waste,2.788,41.081,0.7572,7,6,0.2422,3.72
paper,newspaper,4.149,4.875,0.7914,4,4,0.1991,7.48
organic,food_waste,23.165,8.822,0.5955,6,3,0.4954,3.92
plastic,HDPE,1.605,12.012,0.7584,6,2,0.3841,17.49
plastic,PET,1.413,3.318,0.8955,4,2,0.4749,26.82
organic,food_waste,5.953,6.93,0.8056,1,2,0.7943,3.79
organic,food_waste,10.602,10.891,0.9182,1,1,0.7207,3.91
plastic,HDPE,1.928,6.641,0.5982,7,0,0.3975,20.74
metal,aluminum,10.019,9.327,0.7786,3,3,0.4428,129.07
metal,steel,23.152,4.133,0.6372,4,1,0.5505,32.72
organic,garden_waste,18.926,6.327,0.9579,2,1,0.5247,5.92
metal,steel,6.848,2.377,0.656,1,1,0.3499,30.88
paper,cardboard,4.02,1.394,0.6655,2,5,0.4664,12.22
paper,newspaper,35.972,25.715,0.8518,5,4,0.7313,7.5
paper,cardboard,4.565,15.973,0.7462,2,3,0.5312,9.81
glass,colored_glass,13.852,26.299,0.7471,3,4,0.1632,5.6
organic,food_waste,46.99,0.55,0.6482,4,3,0.1453,5.13
paper,cardboard,12.211,31.903,0.3876,4,3,0.3774,6.31
plastic,PET,1.355,4.48,0.4161,1,5,0.7586,18.73
plastic,HDPE,1.013,30.433,0.5952,2,5,0.224,13.96
e_waste,computers,3.136,2.54,0.7583,12,1,0.2441,99.11
organic,garden_waste,10.5,0.208,0.5356,9,5,0.3408,4.55
plastic,PET,7.643,6.803,0.8606,2,1,0.2296,25.82
plastic,HDPE,63.339,17.087,0.7942,4,0,0.7573,20.81
metal,steel,7.554,7.411,0.3784,5,2,0.4398,23.51
plastic,PET,3.025,1.503,0.6023,11,2,0.5633,29.6
organic,food_waste,1.15,2.129,0.398,11,5,0.3732,4.06
paper,newspaper,18.477,1.487,0.7533,10,4,0.6405,11.96
plastic,HDPE,4.449,15.034,0.891,2,0,0.209,16.03
textile,clothes,0.735,7.13,0.5491,6,3,0.7388,15.84
plastic,PET,4.603,0.221,0.6528,6,5,0.5207,24.49
plastic,PVC,1.357,3.678,0.7306,8,5,0.5773,9.13
plastic,mixed_plastic,2.689,9.983,0.8026,11,3,0.5763,12.59
plastic,mixed_plastic,4.515,4.358,0.7676,4,4,0.3149,8.88
plastic,PET,1.513,9.855,0.7385,7,3,0.8941,36.26
plastic,PET,2.496,7.521,0.5552,4,1,0.4751,22.91
plastic,PP,1.835,3.105,0.5892,3,3,0.7876,15.85
plastic,PET,1.895,1.837,0.5719,4,4,0.4502,15.02
metal,steel,1.337,10.355,0.6664,9,0,0.852,31.78
glass,mixed_glass,2.511,10.811,0.75,6,4,0.7789,6.06
paper,cardboard,1.532,38.036,0.9609,9,1,0.7341,12.53
paper,office_paper,9.06,2.95,0.9675,9,0,0.4517,17.31
metal,aluminum,5.703,33.466,0.7525,5,5,0.4609,118.86
organic,garden_waste,18.796,3.598,0.7673,12,2,0.5466,7.48
organic,garden_waste,43.122,8.03,0.6266,1,2,0.3352,5.43
plastic,PET,10.103,0.147,0.8914,11,4,0.3323,28.95
plastic,PP,7.687,25.941,0.7578,1,3,0.4631,11.35
plastic,PET,10.896,0.602,0.5309,5,4,0.4689,22.9
plastic,HDPE,7.845,1.462,0.7516,10,6,0.3631,22.45
metal,aluminum,4.76,8.413,0.73,9,4,0.7435,129.05
paper,cardboard,4.327,8.562,0.685,4,0,0.4007,12.16
plastic,HDPE,1.315,15.246,0.8689,11,1,0.4213,26.41
paper,cardboard,12.264,5.519,0.5542,2,3,0.7193,10.6
metal,aluminum,4.317,6.18,0.9137,9,3,0.7232,162.81
plastic,mixed_plastic,25.519,44.434,0.5001,7,2,0.2045,8.45
organic,garden_waste,13.439,5.273,0.6571,3,1,0.655,6.54
plastic,HDPE,2.115,8.738,0.6747,12,0,0.2679,22.02
textile,clothes,20.006,19.287,0.8994,10,1,0.4784,17
plastic,HDPE,0.207,19.163,0.5113,1,6,0.3154,14.96
organic,garden_waste,45.434,5.986,0.481,2,2,0.7669,4.23
textile,clothes,0.899,7.281,0.8669,1,6,0.4541,15.58
rubber,tyres,8.118,3.812,0.6121,5,2,0.7598,20.54
organic,food_waste,7.485,4.638,0.7281,6,2,0.7284,4.92
e_waste,phones,17.261,25.902,0.6998,9,3,0.2148,121.22
metal,steel,3.021,7.341,0.9197,9,6,0.4522,34.9
e_waste,mixed_ewaste,0.341,14.046,0.7882,1,3,0.6914,74.69
plastic,PET,3.026,0.507,0.7952,6,0,0.4667,28.72
metal,tin,3.445,1.513,0.8829,10,1,0.3717,26.67
metal,steel,0.383,2.392,0.8456,11,6,0.5436,42.53
organic,food_waste,4.732,4.994,0.8902,4,1,0.5849,4.78
paper,cardboard,1.232,0.857,0.6011,1,5,0.5415,9.74
paper,mixed_paper,9.766,0.962,0.596,2,6,0.6624,7.75
metal,brass,3.336,6.653,0.4943,5,1,0.606,290.67
plastic,PP,47.149,7.818,0.5756,6,3,0.5992,16.35
plastic,PP,3.296,12.35,0.7534,5,4,0.683,13.62
paper,cardboard,7.512,23.605,0.6372,2,5,0.4111,8.46
paper,cardboard,3.471,7.76,0.7027,5,5,0.8146,12.58
plastic,PP,0.639,11.1,0.3088,4,0,0.7759,12.33
paper,newspaper,3.506,22.588,0.5631,6,2,0.3546,4.98
paper,cardboard,11.068,3.208,0.7198,1,6,0.5653,12.67
paper,cardboard,9.229,8.924,0.7945,10,2,0.3881,10.26
paper,mixed_paper,3.152,5.916,0.7699,6,1,0.2382,7.67
glass,clear_glass,0.78,1.098,0.6996,4,4,0.34,9.12
plastic,mixed_plastic,9.712,1.805,0.8587,11,1,0.4023,11.94
textile,clothes,7.414,2.397,0.9728,9,1,0.2707,16.95
textile,clothes,12.331,1.838,0.8422,2,5,0.3373,15.92
paper,newspaper,3.225,27.217,0.8786,2,0,0.5359,6.23
paper,office_paper,0.594,1.697,0.4111,1,6,0.5665,13.53
metal,aluminum,8.504,10.762,0.825,7,1,0.3448,145.06
organic,garden_waste,4.433,1.037,0.7063,5,0,0.2736,4.79
glass,clear_glass,23.808,20.156,0.7708,5,5,0.7684,10.35
organic,food_waste,4.639,20.671,0.6713,7,1,0.5173,3.85
metal,tin,4.244,28.743,0.8491,7,2,0.701,21.52
metal,aluminum,7.394,11.319,0.8628,1,2,0.1321,105.37
plastic,PP,2.19,6.34,0.8679,2,3,0.7848,14.84
e_waste,phones,2.066,19.693,0.5585,10,3,0.6836,114.45
plastic,HDPE,3.985,17.071,0.7038,12,1,0.7582,22.56
glass,clear_glass,1.485,6.279,0.5355,11,1,0.596,10.9
organic,food_waste,3.404,6.689,0.7652,11,1,0.4224,4.47
plastic,PP,45.946,9.91,0.8009,6,0,0.6716,13.78
metal,steel,15.661,1.143,0.8267,10,4,0.2557,31.22
plastic,mixed_plastic,6.486,1.406,0.5169,11,3,0.4042,8.23
e_waste,computers,28.847,2.225,0.5835,11,0,0.7422,93.49
plastic,PP,1.665,0.768,0.7405,2,2,0.5081,17.28
textile,clothes,88.99,13.986,0.9163,2,4,0.8856,17.54
plastic,PP,2.579,12.341,0.9097,5,1,0.5666,13.16
rubber,tyres,49.629,1.972,0.8638,7,2,0.5491,24.88
organic,food_waste,49.367,2.161,0.9131,12,5,0.3702,7.36
metal,copper,0.547,22.252,0.6202,4,4,0.5527,531.86
organic,garden_waste,26.063,10.253,0.2331,10,4,0.6083,3.22
organic,food_waste,3.188,0.691,0.5336,11,2,0.7476,4.78
textile,clothes,2.267,3.582,0.5587,12,3,0.6307,19.96
plastic,PP,8.411,8.702,0.892,3,5,0.5444,17.54
metal,steel,1.337,12.427,0.8694,3,6,0.6116,40.59
plastic,PET,8.186,6.133,0.8433,3,0,0.1633,25.84
metal,tin,1.449,2.284,0.7641,9,5,0.3623,31.6
plastic,PP,5.543,1.593,0.7297,9,6,0.465,15.79
metal,brass,22.252,7.417,0.8486,5,6,0.5416,383.26
metal,steel,7.127,23.487,0.8847,2,1,0.5667,30.76
paper,office_paper,2.91,6.37,0.7772,7,3,0.684,15.55
metal,steel,8.582,9.555,0.7107,9,0,0.6295,29.83
e_waste,batteries,0.829,0.501,0.6598,6,0,0.3354,55.1
organic,food_waste,1.638,7.427,0.6026,4,3,0.4151,4.04
paper,cardboard,2.674,4.877,0.723,8,1,0.5005,9.65
metal,aluminum,11.522,0.716,0.908,8,1,0.5309,125.4
textile,industrial_textile,7.293,3.086,0.8049,8,2,0.557,11.25
plastic,PET,8.518,7.511,0.3518,11,3,0.3746,21.89
plastic,PET,4.337,26.006,0.423,4,1,0.584,15.63
plastic,HDPE,1.741,1.596,0.9296,8,5,0.6039,25.85
glass,clear_glass,26.729,5.534,0.8494,11,4,0.6603,13.11
paper,newspaper,1.94,3.49,0.5653,3,5,0.4101,7.34
e_waste,mixed_ewaste,7.41,3.335,0.9252,4,6,0.3876,61.6
glass,colored_glass,3.918,9.09,0.5547,1,4,0.2493,4.52
paper,cardboard,8.807,39.619,0.4388,5,2,0.2053,3.84
textile,industrial_textile,2.167,6.972,0.7784,1,6,0.2851,6.15
e_waste,computers,15.851,12.675,0.6968,9,3,0.1863,108.11
plastic,HDPE,23.428,2.534,0.8358,2,3,0.2627,20.57
paper,newspaper,14.726,2.69,0.5982,9,2,0.1979,7.2
paper,office_paper,5.415,0.581,0.8245,7,0,0.3632,14.16
plastic,mixed_plastic,2.659,3.75,0.704,12,6,0.4985,10.5
plastic,HDPE,132.494,44.954,0.5785,5,5,0.2741,9.95
textile,clothes,1.363,17.117,0.6511,5,4,0.3376,12.78
paper,newspaper,12.903,10.11,0.8746,3,1,0.4002,9.37
paper,cardboard,6.681,1.353,0.408,7,6,0.1898,12.05
e_waste,batteries,4.158,5.887,0.274,3,1,0.6574,61.63
metal,aluminum,5.597,12.95,0.5568,2,1,0.6511,114.91
textile,clothes,2.43,6.108,0.5433,12,0,0.1643,13.14
organic,food_waste,7.482,3.675,0.9014,9,2,0.4522,4.45
paper,cardboard,6.555,12.82,0.4013,2,2,0.4265,7.45
paper,cardboard,111.406,15.976,0.6436,8,5,0.9069,13.68
rubber,tyres,16.2,6.347,0.8881,4,2,0.5043,23.17
e_waste,cables,8.323,1.434,0.8673,3,6,0.8438,94.25
rubber,tyres,8.941,15.684,0.7237,6,2,0.7838,21.75
plastic,HDPE,40.75,4.652,0.709,10,3,0.448,19
organic,food_waste,1.399,10.463,0.5836,1,4,0.2739,2.74
metal,steel,3.599,13.722,0.8964,5,5,0.7167,32.6
plastic,mixed_plastic,0.454,2.957,0.8041,12,5,0.5332,13.84
metal,steel,8.763,5.968,0.7554,5,6,0.4993,30.49
glass,mixed_glass,12.401,0.986,0.8839,2,6,0.6113,6.44
plastic,PP,1.357,6.781,0.8416,6,0,0.5725,14.19
paper,cardboard,25.081,4.62,0.5746,9,0,0.1427,11.44
organic,food_waste,1.891,20.327,0.987,12,3,0.288,4.67
plastic,PP,2.971,32.21,0.6378,8,1,0.3515,9.77
paper,mixed_paper,5.173,2.312,0.7271,1,3,0.6076,6.9
paper,office_paper,30.357,7.109,0.7138,10,4,0.6321,14
paper,cardboard,1.6,15.1,0.8695,10,1,0.7053,12.4
textile,clothes,6.357,5.393,0.5872,8,0,0.1835,15.08
organic,food_waste,11.357,26.058,0.9239,11,6,0.4525,6.25
plastic,PET,8.865,13.146,0.3755,10,2,0.7638,23.88
rubber,mixed_rubber,9.267,4.431,0.7718,3,5,0.2765,11.26
organic,garden_waste,11.176,5.906,0.8275,6,4,0.5964,6.85
plastic,PET,2.303,2.091,0.83,7,4,0.602,32.01
organic,food_waste,33.965,0.2,0.7015,6,5,0.2883,3.44
plastic,PET,3.922,3.548,0.731,8,1,0.3701,26.16
rubber,tyres,3.345,13.615,0.675,9,1,0.2435,17.54
glass,colored_glass,22.582,4.019,0.8331,2,6,0.5207,10.05
