waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,county,collection_point,quality_grade,price_per_kg
metal,brass,29.74,9.87,0.761,3,2,0.5961,Kisumu,industrial,good,305.2
plastic,PVC,20.63,5.66,0.5003,11,1,0.4246,Nairobi,commercial,fair,6.92
rubber,tyres,17.49,0.71,0.6702,7,3,0.6651,Kisumu,commercial,fair,23.6
paper,office_paper,32.8,4.2,0.6545,12,2,0.5101,Kisumu,dump_site,fair,10.21
rubber,tyres,13.82,0.63,0.667,7,0,0.3724,Nairobi,dump_site,fair,16.95
paper,mixed_paper,88.02,3.83,0.9065,1,4,0.7602,Nairobi,household,excellent,12.32
metal,copper,31.05,3.75,0.5904,2,0,0.5819,Nairobi,dump_site,fair,379.04
plastic,HDPE,13.16,4.12,0.4617,6,3,0.3402,Nairobi,household,poor,18.41
plastic,HDPE,51.3,5.27,0.6682,5,4,0.1648,Nairobi,dump_site,fair,18.41
plastic,HDPE,13.44,2.58,0.744,3,4,0.464,Nairobi,commercial,good,28.9
metal,copper,23.19,4.93,0.7136,10,1,0.2478,Nairobi,household,good,358.97
metal,tin,7.56,4.09,0.9813,11,4,0.3229,Eldoret,industrial,excellent,18.04
metal,aluminum,3.17,4.19,0.814,3,1,0.5801,Nairobi,household,good,108.49
paper,newspaper,9.25,9.66,0.6773,10,6,0.4482,Nairobi,household,fair,7.4
organic,garden_waste,37.24,5.08,0.8266,7,1,0.4889,Nairobi,household,good,8.95
paper,office_paper,1.1,6.36,0.5227,9,5,0.537,Nairobi,commercial,fair,14.41
paper,office_paper,22.09,2.12,0.7465,1,3,0.7441,Mombasa,household,good,15.83
rubber,mixed_rubber,11.77,32.6,0.6193,5,4,0.5682,Nairobi,industrial,fair,9.46
metal,steel,91.9,0.32,0.7038,4,5,0.6855,Nairobi,household,good,24.64
metal,brass,69.6,5.04,0.9011,7,5,0.3985,Nairobi,dump_site,excellent,314.14
metal,brass,51.13,10.04,0.5048,2,2,0.2289,Nakuru,household,fair,203.98
e_waste,mixed_ewaste,10.05,18.52,0.6386,4,0,0.4948,Mombasa,dump_site,fair,38.12
organic,garden_waste,6.58,6.0,0.5593,10,0,0.5642,Nairobi,household,fair,5.61
e_waste,cables,24.56,6.22,0.7873,4,3,0.4694,Mombasa,commercial,good,72.5
plastic,mixed_plastic,37.17,0.27,0.9832,10,6,0.6695,Nairobi,dump_site,excellent,12.3
paper,newspaper,17.8,2.06,0.6089,4,4,0.689,Kisumu,household,fair,7.06
plastic,HDPE,67.1,1.95,0.7151,6,0,0.3914,Kisumu,commercial,good,23.4
plastic,PP,27.4,9.92,0.372,4,6,0.6198,Nairobi,commercial,poor,11.41
glass,clear_glass,93.73,6.8,0.7355,2,1,0.3088,Mombasa,industrial,good,10.26
plastic,PET,66.31,1.73,0.9327,6,3,0.4786,Mombasa,household,excellent,35.88
organic,food_waste,20.13,6.26,0.54,6,5,0.6371,Nairobi,industrial,fair,6.34
paper,mixed_paper,24.16,0.87,0.7869,10,0,0.5239,Nakuru,industrial,good,8.14
organic,food_waste,5.71,2.83,0.5496,6,3,0.3183,Nairobi,household,fair,4.48
rubber,mixed_rubber,12.67,6.39,0.5544,6,6,0.7047,Nairobi,commercial,fair,10.74
paper,mixed_paper,1.86,4.2,0.6631,3,5,0.5245,Nakuru,commercial,fair,6.22
e_waste,phones,2.82,1.7,0.9029,11,6,0.7389,Mombasa,household,excellent,101.64
plastic,PET,22.54,5.5,0.715,4,0,0.2992,Nairobi,dump_site,good,25.09
plastic,PET,4.83,5.85,0.6353,8,3,0.5375,Nairobi,commercial,fair,31.64
plastic,PVC,1.35,0.59,0.78,7,5,0.3335,Nairobi,commercial,good,11.08
rubber,mixed_rubber,4.42,7.95,0.8535,12,0,0.4609,Mombasa,dump_site,excellent,9.3
paper,newspaper,31.26,4.91,0.7814,2,5,0.2416,Mombasa,household,good,9.17
metal,aluminum,39.08,1.55,0.7514,6,6,0.5742,Nairobi,commercial,good,126.97
paper,mixed_paper,40.53,2.99,0.6722,11,3,0.222,Mombasa,industrial,fair,7.72
paper,office_paper,15.34,5.1,0.9023,11,5,0.5096,Mombasa,household,excellent,14.85
plastic,PET,41.19,4.42,0.6595,2,3,0.3381,Nairobi,industrial,fair,33.38
rubber,mixed_rubber,49.33,10.46,0.8187,12,3,0.4577,Mombasa,household,good,11.29
glass,mixed_glass,15.46,8.49,0.6346,11,5,0.4875,Nairobi,industrial,fair,4.09
organic,food_waste,2.51,2.7,0.6346,9,4,0.7233,Kisumu,household,fair,4.94
glass,mixed_glass,21.05,0.91,0.9412,3,2,0.4389,Nairobi,dump_site,excellent,4.73
e_waste,phones,46.23,24.24,0.5457,3,6,0.3213,Nairobi,household,fair,71.5
organic,food_waste,9.32,2.34,0.5848,7,4,0.3397,Kisumu,commercial,fair,4.6
plastic,PVC,3.55,0.79,0.6659,1,4,0.3997,Nairobi,household,fair,8.1
textile,industrial_textile,22.89,7.48,0.935,3,5,0.5054,Nairobi,commercial,excellent,9.27
glass,mixed_glass,8.6,21.55,0.9614,4,0,0.4719,Nairobi,household,excellent,4.03
paper,office_paper,13.14,0.47,0.8675,5,2,0.4067,Nairobi,commercial,excellent,18.48
glass,clear_glass,31.8,5.82,0.8677,8,0,0.416,Mombasa,industrial,excellent,9.76
metal,brass,2.92,5.64,0.7926,9,6,0.8063,Mombasa,commercial,good,316.13
paper,cardboard,58.69,0.61,0.5901,3,2,0.8042,Mombasa,household,fair,14.78
organic,garden_waste,48.24,3.3,0.8539,12,1,0.7073,Nairobi,dump_site,excellent,7.63
paper,office_paper,5.06,3.58,0.7108,12,2,0.4507,Mombasa,commercial,good,13.0
rubber,tyres,3.28,1.3,0.6759,6,2,0.3914,Nairobi,household,fair,17.4
glass,colored_glass,44.32,25.02,0.8413,5,0,0.4517,Nairobi,household,good,4.72
plastic,PVC,7.2,10.86,0.566,2,2,0.6627,Nairobi,industrial,fair,10.24
plastic,mixed_plastic,16.63,4.9,0.6906,5,5,0.4163,Nakuru,dump_site,fair,6.94
rubber,mixed_rubber,35.62,4.26,0.9549,7,6,0.5666,Nakuru,commercial,excellent,13.82
paper,newspaper,78.62,1.54,0.844,6,2,0.5756,Kisumu,industrial,good,9.94
metal,brass,10.64,8.12,0.6813,5,4,0.3692,Nakuru,commercial,fair,228.28
plastic,PVC,13.57,0.61,0.6246,2,4,0.7556,Nairobi,industrial,fair,11.16
plastic,mixed_plastic,27.98,1.62,0.9344,7,2,0.2745,Nairobi,household,excellent,13.66
e_waste,phones,32.31,12.3,0.536,2,5,0.7383,Mombasa,household,fair,85.17
metal,brass,4.09,6.16,0.8741,10,4,0.5183,Nakuru,household,excellent,230.08
metal,aluminum,44.32,1.04,0.6087,3,4,0.5519,Nairobi,household,fair,104.35
organic,food_waste,0.61,1.3,0.7182,1,3,0.5931,Mombasa,household,good,5.37
paper,cardboard,16.66,0.91,0.7688,4,6,0.4291,Mombasa,industrial,good,14.95
plastic,PP,9.98,6.41,0.8515,12,2,0.8024,Nairobi,commercial,excellent,19.8
metal,copper,59.63,2.06,0.4007,1,3,0.3464,Nairobi,household,poor,414.44
paper,mixed_paper,26.17,5.27,0.5594,3,0,0.6693,Nairobi,household,fair,8.15
textile,industrial_textile,17.04,8.46,0.7799,12,5,0.619,Mombasa,industrial,good,7.31
organic,garden_waste,59.72,1.27,0.576,9,5,0.4902,Eldoret,commercial,fair,6.87
paper,cardboard,24.75,16.04,0.8019,3,5,0.4104,Nairobi,dump_site,good,10.25
paper,cardboard,5.98,18.35,0.9474,3,6,0.537,Kisumu,dump_site,excellent,11.44
e_waste,mixed_ewaste,48.64,9.1,0.774,4,1,0.316,Nairobi,dump_site,good,50.97
plastic,PVC,5.4,4.54,0.7528,12,4,0.1316,Mombasa,household,good,5.76
paper,cardboard,7.73,5.18,0.8757,4,3,0.5287,Eldoret,household,excellent,10.55
metal,aluminum,21.21,3.55,0.8153,7,6,0.3604,Nakuru,commercial,good,93.67
metal,steel,25.77,2.92,0.6735,11,6,0.4997,Nairobi,dump_site,fair,19.86
metal,tin,12.93,4.95,0.8488,9,1,0.3989,Nairobi,household,good,23.42
metal,tin,14.23,2.37,0.7288,11,6,0.4035,Nairobi,commercial,good,17.66
e_waste,phones,8.33,6.14,0.714,11,4,0.3945,Eldoret,commercial,good,78.96
plastic,PET,3.75,1.0,0.7335,9,4,0.6229,Kisumu,industrial,good,38.21
metal,brass,4.95,9.46,0.5154,8,5,0.4985,Kisumu,industrial,fair,257.13
plastic,PET,9.73,4.15,0.7132,12,6,0.5286,Nairobi,dump_site,good,26.52
plastic,PET,20.4,2.23,0.6203,9,3,0.3487,Nairobi,household,fair,27.66
paper,office_paper,33.56,0.94,0.6483,8,1,0.6042,Mombasa,dump_site,fair,12.56
paper,cardboard,11.14,3.24,0.7692,12,1,0.2654,Eldoret,household,good,10.62
metal,aluminum,26.64,2.07,0.4801,9,2,0.4996,Nairobi,household,poor,88.64
paper,office_paper,12.19,0.51,0.6701,3,0,0.3874,Nairobi,industrial,fair,20.77
metal,steel,35.0,14.96,0.7993,10,2,0.1534,Kisumu,household,good,20.79
e_waste,phones,6.53,2.09,0.7254,10,0,0.3532,Eldoret,commercial,good,87.15
e_waste,batteries,18.92,0.63,0.5688,1,3,0.5551,Nairobi,commercial,fair,58.92
metal,steel,19.64,1.14,0.626,10,0,0.2932,Nairobi,household,fair,25.87
plastic,PET,8.04,1.24,0.4915,4,2,0.6794,Nairobi,commercial,poor,24.15
organic,food_waste,44.52,1.66,0.4834,10,6,0.5664,Nakuru,household,poor,3.86
glass,mixed_glass,15.99,3.41,0.7985,4,6,0.1312,Mombasa,industrial,good,4.11
metal,aluminum,33.46,13.01,0.3246,10,3,0.752,Nairobi,industrial,poor,80.11
metal,copper,14.51,4.87,0.8592,3,4,0.4983,Mombasa,household,excellent,507.96
e_waste,mixed_ewaste,12.93,13.76,0.9876,1,2,0.2699,Mombasa,household,excellent,61.04
organic,garden_waste,6.19,1.02,0.5924,9,4,0.7894,Nairobi,household,fair,6.66
e_waste,cables,20.22,24.21,0.6836,11,1,0.588,Nairobi,commercial,fair,61.42
paper,newspaper,66.73,3.06,0.771,2,4,0.6108,Mombasa,commercial,good,11.03
e_waste,batteries,28.3,6.01,0.6941,10,0,0.6183,Nakuru,commercial,fair,45.55
metal,aluminum,8.4,1.56,0.8945,12,1,0.5334,Mombasa,industrial,excellent,145.38
plastic,PP,25.79,2.55,0.5105,4,6,0.2607,Kisumu,household,fair,10.6
metal,steel,6.62,3.94,0.53,12,5,0.3908,Nairobi,dump_site,fair,18.32
paper,mixed_paper,85.98,10.71,0.461,1,2,0.2205,Nairobi,industrial,poor,7.42
e_waste,batteries,0.63,16.92,0.963,3,2,0.267,Nakuru,commercial,excellent,44.61
paper,cardboard,136.33,24.02,0.4468,11,2,0.494,Eldoret,commercial,poor,7.53
rubber,mixed_rubber,8.55,1.22,0.8716,6,1,0.5913,Kisumu,commercial,excellent,13.18
organic,garden_waste,60.76,6.31,0.7485,2,3,0.6671,Kisumu,household,good,7.34
paper,newspaper,54.12,6.66,0.629,9,2,0.3117,Mombasa,dump_site,fair,6.13
metal,tin,93.07,10.39,0.8513,2,2,0.5434,Nairobi,dump_site,excellent,19.69
organic,garden_waste,25.4,1.69,0.7644,4,4,0.6033,Eldoret,household,good,6.15
plastic,HDPE,18.11,1.13,0.8493,7,6,0.3975,Mombasa,industrial,good,28.76
metal,tin,114.29,13.42,0.7745,12,3,0.4035,Nairobi,industrial,good,25.08
glass,clear_glass,76.13,1.36,0.4392,4,3,0.6139,Mombasa,household,poor,5.25
plastic,HDPE,58.88,5.76,0.9493,3,1,0.5966,Kisumu,household,excellent,23.64
plastic,HDPE,18.95,5.53,0.6065,4,4,0.6381,Nairobi,household,fair,20.28
e_waste,mixed_ewaste,16.28,3.97,0.759,1,5,0.2814,Nairobi,household,good,52.93
paper,cardboard,16.29,9.11,0.8777,9,5,0.3147,Kisumu,dump_site,excellent,12.88
plastic,PP,35.23,1.0,0.5336,7,5,0.4374,Nairobi,household,fair,12.79
metal,brass,28.06,16.44,0.9403,2,5,0.2757,Nairobi,industrial,excellent,416.66
rubber,mixed_rubber,8.65,1.12,0.8549,1,6,0.3286,Kisumu,household,excellent,9.19
glass,mixed_glass,7.58,4.02,0.7296,3,4,0.3119,Kisumu,dump_site,good,3.23
metal,copper,15.0,8.05,0.6577,5,5,0.3606,Nairobi,industrial,fair,561.16
metal,copper,1.66,1.67,0.7782,8,6,0.2357,Nairobi,household,good,493.04
plastic,mixed_plastic,3.66,23.85,0.7733,12,3,0.2018,Eldoret,household,good,6.99
metal,steel,1.19,4.65,0.5788,1,5,0.2241,Nairobi,household,fair,20.9
metal,aluminum,6.75,3.08,0.7126,5,2,0.5866,Nairobi,household,good,113.94
metal,copper,31.86,0.63,0.6708,12,2,0.5581,Nakuru,industrial,fair,454.18
plastic,PET,15.18,8.52,0.6739,4,2,0.5143,Nairobi,household,fair,26.84
plastic,PVC,62.55,6.25,0.328,5,4,0.7355,Nakuru,commercial,poor,5.93
metal,brass,46.98,4.17,0.4615,11,6,0.7473,Kisumu,dump_site,poor,180.59
plastic,PP,38.37,36.45,0.9045,9,6,0.8645,Nairobi,commercial,excellent,18.37
e_waste,computers,10.91,10.01,0.7167,6,4,0.4711,Nairobi,dump_site,good,65.17
plastic,PP,1.23,5.45,0.7344,7,5,0.2226,Nakuru,commercial,good,13.06
metal,aluminum,41.45,1.72,0.8543,12,5,0.6479,Kisumu,household,excellent,83.88
metal,steel,30.09,5.03,0.777,4,0,0.5859,Nairobi,household,good,26.96
plastic,mixed_plastic,11.07,2.67,0.7243,4,6,0.397,Nairobi,industrial,good,11.82
plastic,PVC,2.62,29.62,0.5637,5,1,0.5732,Nairobi,commercial,fair,6.14
plastic,PP,20.81,9.27,0.8747,12,2,0.5523,Mombasa,commercial,excellent,20.14
metal,steel,37.09,1.74,0.4908,10,6,0.5862,Nairobi,commercial,poor,24.81
metal,copper,24.87,10.06,0.5434,4,5,0.7728,Nakuru,commercial,fair,403.86
plastic,mixed_plastic,23.46,2.7,0.5995,4,5,0.6754,Mombasa,industrial,fair,11.29
plastic,PP,2.63,15.68,0.7189,12,0,0.3671,Nairobi,industrial,good,16.72
plastic,PVC,26.38,2.24,0.8286,12,2,0.6247,Eldoret,household,good,6.3
plastic,PP,44.76,22.78,0.6862,3,0,0.7579,Nakuru,commercial,fair,13.21
e_waste,mixed_ewaste,22.1,7.29,0.7106,6,2,0.2856,Nairobi,commercial,good,60.1
plastic,HDPE,19.04,2.19,0.7943,7,2,0.3914,Nakuru,household,good,23.9
plastic,PET,24.27,13.89,0.5805,11,6,0.324,Nairobi,dump_site,fair,20.68
paper,newspaper,67.21,6.96,0.8751,2,3,0.1673,Nairobi,household,excellent,9.27
plastic,PVC,13.3,0.93,0.5658,6,3,0.717,Nairobi,household,fair,7.41
paper,office_paper,13.33,2.68,0.8528,11,5,0.6036,Mombasa,household,excellent,15.66
plastic,PP,22.96,1.16,0.7954,7,5,0.3921,Nairobi,commercial,good,21.18
plastic,mixed_plastic,3.82,12.68,0.8026,6,5,0.7755,Nairobi,commercial,good,13.1
paper,newspaper,15.87,8.57,0.7875,11,1,0.6605,Eldoret,commercial,good,7.03
plastic,PVC,13.91,0.29,0.657,11,1,0.4044,Nairobi,industrial,fair,8.41
metal,tin,76.63,13.1,0.5896,3,4,0.2818,Nairobi,household,fair,14.42
metal,copper,2.51,1.32,0.826,9,6,0.3155,Nairobi,commercial,good,604.76
metal,copper,13.92,0.35,0.8215,7,5,0.7306,Nairobi,household,good,588.49
paper,newspaper,38.63,29.57,0.8319,9,0,0.5881,Nairobi,commercial,good,9.81
glass,clear_glass,79.28,13.45,0.5023,12,5,0.2994,Nairobi,industrial,fair,6.64
plastic,PET,6.34,2.84,0.9945,11,1,0.4425,Mombasa,household,excellent,31.38
paper,office_paper,10.53,8.39,0.6635,1,6,0.4221,Nairobi,dump_site,fair,12.94
metal,brass,71.46,1.35,0.6816,8,4,0.5928,Nairobi,commercial,fair,396.65
organic,food_waste,35.14,14.85,0.6755,7,1,0.1997,Mombasa,household,fair,4.27
plastic,PVC,11.67,5.77,0.8039,1,6,0.6085,Mombasa,industrial,good,10.71
glass,mixed_glass,7.07,13.86,0.8647,8,4,0.3589,Nairobi,commercial,excellent,4.78
metal,aluminum,54.85,1.18,0.809,9,4,0.3249,Nairobi,household,good,127.17
metal,steel,8.34,1.53,0.6168,7,2,0.7823,Nairobi,household,fair,24.67
organic,garden_waste,20.24,15.84,0.7432,2,6,0.6552,Nairobi,household,good,7.2
plastic,mixed_plastic,4.19,18.47,0.534,4,5,0.5441,Mombasa,household,fair,6.88
plastic,PP,80.64,1.67,0.6672,1,1,0.6942,Kisumu,dump_site,fair,13.8
e_waste,mixed_ewaste,11.77,12.89,0.4551,6,2,0.5743,Eldoret,household,poor,34.1
plastic,PVC,20.15,22.52,0.9481,6,6,0.1109,Eldoret,household,excellent,7.04
paper,cardboard,16.28,3.37,0.8166,7,1,0.4075,Nakuru,household,good,12.08
organic,garden_waste,0.51,14.99,0.9352,1,1,0.4718,Nairobi,household,excellent,7.79
plastic,PVC,62.98,0.89,0.8998,8,1,0.5072,Nakuru,industrial,excellent,11.66
paper,mixed_paper,112.89,4.16,0.8523,1,3,0.5674,Nairobi,dump_site,excellent,8.13
plastic,PET,9.11,3.44,0.9408,2,6,0.3584,Nakuru,industrial,excellent,31.96
plastic,HDPE,5.77,10.53,0.4986,6,1,0.4659,Nairobi,commercial,poor,21.94
plastic,PP,30.68,1.5,0.3573,1,5,0.468,Nairobi,dump_site,poor,10.61
rubber,tyres,1.6,1.38,0.7208,7,5,0.4571,Nairobi,commercial,good,23.95
e_waste,batteries,2.29,2.65,0.9321,2,5,0.7639,Nairobi,household,excellent,68.98
e_waste,batteries,31.68,1.49,0.9881,9,6,0.413,Kisumu,commercial,excellent,52.85
paper,mixed_paper,60.93,0.24,0.8074,5,1,0.3242,Nakuru,commercial,good,6.47
plastic,mixed_plastic,23.37,1.55,0.3834,12,0,0.7204,Nairobi,commercial,poor,9.33
paper,mixed_paper,17.29,2.8,0.6039,3,2,0.4928,Mombasa,household,fair,7.32
plastic,HDPE,22.39,3.94,0.5985,10,1,0.5294,Nairobi,commercial,fair,25.97
organic,food_waste,57.56,4.67,0.6314,12,3,0.2745,Nairobi,household,fair,4.99
textile,clothes,33.35,9.01,0.9604,6,4,0.6476,Mombasa,commercial,excellent,16.43
metal,aluminum,48.16,0.73,0.8863,5,6,0.5908,Nakuru,industrial,excellent,104.6
metal,brass,67.04,4.7,0.8081,12,6,0.4557,Eldoret,industrial,good,267.94
paper,mixed_paper,10.45,4.21,0.8236,12,4,0.3609,Nairobi,commercial,good,9.69
organic,garden_waste,11.15,16.41,0.973,6,4,0.43,Mombasa,industrial,excellent,7.84
rubber,mixed_rubber,5.45,2.18,0.5085,4,3,0.4799,Nairobi,commercial,fair,9.51
plastic,PET,12.99,5.95,0.5167,8,4,0.3803,Nakuru,commercial,fair,19.76
paper,office_paper,25.41,3.85,0.8578,8,1,0.5094,Mombasa,household,excellent,17.67
paper,office_paper,35.34,14.4,0.5156,5,6,0.6546,Kisumu,commercial,fair,11.4
glass,clear_glass,8.42,2.48,0.5303,3,6,0.5134,Mombasa,dump_site,fair,5.52
plastic,PET,104.92,1.61,0.6531,5,1,0.2679,Nairobi,commercial,fair,31.07
organic,food_waste,94.77,1.44,0.612,6,3,0.4239,Eldoret,household,fair,3.64
metal,aluminum,6.19,18.75,0.6446,2,3,0.3373,Mombasa,industrial,fair,99.02
metal,tin,7.44,2.27,0.7015,10,0,0.3505,Nairobi,commercial,good,18.67
e_waste,phones,22.5,1.98,0.8245,8,2,0.4655,Mombasa,industrial,good,150.24
metal,steel,35.86,7.21,0.6316,6,4,0.6202,Nairobi,industrial,fair,33.41
plastic,PVC,9.34,9.29,0.8986,2,1,0.435,Nakuru,commercial,excellent,8.38
plastic,mixed_plastic,2.56,0.49,0.8504,11,6,0.4504,Mombasa,industrial,excellent,13.27
e_waste,batteries,24.37,15.9,0.6517,8,4,0.2119,Eldoret,household,fair,32.11
plastic,mixed_plastic,18.36,2.0,0.7221,7,5,0.8268,Kisumu,dump_site,good,10.63
plastic,HDPE,15.44,7.28,0.9551,4,5,0.4692,Mombasa,household,excellent,24.95
plastic,PET,11.15,3.59,0.5006,3,4,0.3386,Nairobi,household,fair,28.42
metal,aluminum,31.19,6.57,0.6171,2,6,0.4008,Kisumu,household,fair,98.67
paper,office_paper,56.98,20.6,0.6221,7,3,0.4845,Kisumu,household,fair,11.25
plastic,PVC,92.63,3.38,0.3652,7,6,0.5974,Nairobi,industrial,poor,7.63
plastic,HDPE,3.67,0.63,0.8241,10,6,0.2892,Nairobi,commercial,good,25.25
metal,tin,2.26,2.49,0.6149,11,5,0.5576,Nairobi,commercial,fair,20.13
e_waste,batteries,42.23,2.29,0.4595,9,0,0.5384,Kisumu,commercial,poor,41.23
metal,aluminum,32.52,1.35,0.6097,7,4,0.6873,Nairobi,commercial,fair,113.01
plastic,HDPE,58.0,6.14,0.7932,1,5,0.3397,Nakuru,commercial,good,21.59
