waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,price_per_kg
plastic,mixed_plastic,39.08,4.39,0.7831,4,2,0.4355,7.71
metal,tin,4.73,3.06,0.6039,11,3,0.3986,14.72
metal,steel,41.92,7.95,0.6702,6,3,0.3111,33.3
plastic,mixed_plastic,33.88,0.5,0.5382,1,1,0.8308,13.99
plastic,PET,19.4,11.35,0.7363,9,6,0.4515,32.75
paper,mixed_paper,48.11,21.75,0.7411,5,2,0.5408,9.65
plastic,PVC,5.09,3.15,0.7949,12,4,0.3602,9.75
e_waste,cables,4.22,4.02,0.5837,11,1,0.3773,55.52
glass,clear_glass,9.38,5.7,0.7413,2,6,0.3466,6.79
plastic,HDPE,31.93,2.05,0.5573,11,6,0.6054,24.88
e_waste,cables,7.94,5.58,0.6461,12,0,0.6647,92.36
e_waste,batteries,8.72,9.94,0.4405,10,4,0.3571,36.84
plastic,PP,12.32,0.24,0.6204,4,4,0.5396,18.59
plastic,PET,20.04,3.07,0.9862,9,1,0.2748,29.12
paper,mixed_paper,55.91,6.97,0.4707,11,5,0.6616,6.07
metal,steel,43.56,2.34,0.7999,10,5,0.1054,38.55
metal,tin,6.15,1.56,0.6022,6,5,0.7299,26.5
metal,copper,3.63,9.74,0.5006,9,4,0.4593,387.71
e_waste,phones,4.09,1.78,0.2802,5,4,0.7823,65.25
paper,mixed_paper,28.77,2.11,0.5752,4,5,0.7028,8.19
glass,clear_glass,31.89,8.19,0.7826,9,5,0.6826,8.72
e_waste,phones,2.76,3.96,0.601,6,4,0.6252,127.66
plastic,mixed_plastic,12.2,12.77,0.5882,3,5,0.4233,11.07
paper,cardboard,31.09,10.35,0.5599,8,0,0.7381,14.87
metal,steel,37.57,0.2,0.9283,4,4,0.4929,15.25
metal,steel,28.68,4.84,0.6407,8,1,0.37,23.11
paper,mixed_paper,44.64,15.23,0.5641,5,2,0.414,5.83
plastic,mixed_plastic,17.72,7.18,0.883,11,5,0.5807,11.69
paper,cardboard,39.71,11.87,0.3745,11,0,0.3178,11.24
e_waste,computers,2.28,7.97,0.6781,6,5,0.4905,123.38
paper,office_paper,12.94,21.43,0.8065,9,1,0.4831,11.97
paper,cardboard,35.12,3.28,0.7869,3,5,0.8735,11.51
paper,cardboard,50.68,1.76,0.7535,12,5,0.9263,18.21
plastic,HDPE,35.69,7.17,0.6561,3,0,0.4197,22.72
metal,aluminum,11.15,6.04,0.7944,11,1,0.3972,107.06
plastic,PVC,18.22,0.36,0.5505,11,5,0.9181,9.87
plastic,PET,11.03,1.91,0.6398,3,2,0.6493,23.16
plastic,PP,17.93,27.06,0.9142,1,3,0.4947,18.29
e_waste,mixed_ewaste,17.17,4.77,0.8333,9,0,0.3876,54.76
plastic,PET,17.77,1.52,0.7302,11,4,0.4568,26.28
metal,aluminum,10.48,13.35,0.6076,9,0,0.1513,81.76
plastic,PET,14.73,13.66,0.3897,1,1,0.5269,29.06
plastic,PET,30.92,7.04,0.9797,8,3,0.5234,43.32
paper,mixed_paper,36.37,2.04,0.8591,5,5,0.5372,6.16
paper,cardboard,40.74,9.7,0.4816,11,3,0.6565,9.33
e_waste,phones,3.51,2.02,0.7527,10,6,0.5201,99.77
paper,mixed_paper,40.85,2.18,0.8711,10,3,0.3924,9.16
plastic,PP,12.55,8.02,0.8647,5,1,0.2648,19.46
e_waste,batteries,8.15,3.15,0.8874,4,1,0.6582,46.56
metal,steel,52.84,3.67,0.5082,10,5,0.1799,22.8
metal,aluminum,20.35,8.94,0.6501,2,3,0.2521,113.24
metal,brass,6.01,3.13,0.9203,2,4,0.7833,340.23
glass,colored_glass,13.46,4.4,0.7557,1,2,0.4731,6.18
plastic,mixed_plastic,34.07,0.27,0.8408,7,1,0.5098,13.33
metal,steel,89.97,26.73,0.5945,1,4,0.3159,29.25
paper,cardboard,25.89,2.78,0.953,7,2,0.7397,21.68
metal,steel,117.83,1.48,0.6001,3,6,0.811,30.89
glass,clear_glass,32.97,3.07,0.7555,11,5,0.7056,10.81
plastic,PVC,6.86,0.22,0.657,6,5,0.6351,11.4
plastic,PP,13.96,6.92,0.9269,2,1,0.6384,17.57
plastic,PET,16.3,6.8,0.8167,9,0,0.3067,29.38
paper,office_paper,18.89,4.74,0.8117,5,0,0.3276,18.91
plastic,HDPE,15.38,6.64,0.7562,4,6,0.603,23.24
metal,brass,10.29,15.67,0.8961,8,6,0.5854,378.57
metal,steel,59.25,3.46,0.6986,12,4,0.3593,21.5
textile,industrial_textile,19.18,0.82,0.6476,12,4,0.3269,5.85
organic,garden_waste,30.8,11.14,0.6007,6,1,0.485,6.68
glass,clear_glass,27.77,11.32,0.6402,11,5,0.3247,8.17
plastic,PET,32.57,15.63,0.4927,3,3,0.8335,26.81
rubber,tyres,10.11,0.28,0.8456,11,4,0.4817,12.28
e_waste,phones,9.36,1.43,0.8208,12,0,0.3802,121.76
glass,colored_glass,7.03,11.47,0.8394,7,3,0.4957,7.44
plastic,PVC,6.5,0.93,0.6471,7,4,0.5503,12.44
plastic,PET,29.02,13.35,0.8613,7,5,0.3549,37.33
metal,brass,4.88,5.86,0.9401,1,1,0.4279,320.09
organic,garden_waste,42.53,0.2,0.3542,11,0,0.7828,5.18
plastic,mixed_plastic,31.08,8.85,0.7035,9,5,0.2826,13.54
metal,tin,4.9,0.4,0.9346,11,2,0.6355,22.74
plastic,HDPE,19.7,3.64,0.711,2,3,0.1829,21.02
paper,newspaper,24.27,0.71,0.5461,10,4,0.8692,9.42
metal,steel,37.95,3.75,0.8625,5,3,0.3756,30.17
e_waste,mixed_ewaste,8.36,10.46,0.8483,10,6,0.3274,63.75
e_waste,computers,13.37,0.46,0.6629,12,5,0.3076,106.11
glass,colored_glass,14.51,7.36,0.9446,11,2,0.5933,4.1
plastic,PP,18.78,6.17,0.6186,11,1,0.4477,14.38
paper,office_paper,9.81,2.35,0.7748,2,6,0.1892,13.93
paper,newspaper,53.29,4.35,0.8794,4,4,0.8594,9.37
paper,mixed_paper,49.16,5.71,0.9249,4,5,0.7185,10.38
metal,brass,3.38,12.71,0.5778,7,3,0.1257,324.64
plastic,PP,17.59,6.49,0.7589,12,3,0.6923,21.47
metal,aluminum,12.18,0.69,0.6218,9,1,0.4651,67.88
plastic,mixed_plastic,30.72,4.45,0.7107,7,3,0.4505,17.33
plastic,HDPE,43.76,1.05,0.6225,10,3,0.4212,24.3
metal,steel,60.8,2.61,0.3826,3,0,0.4531,27.1
metal,steel,111.81,3.68,0.7266,8,4,0.2196,36.0
paper,newspaper,14.79,11.77,0.7031,7,4,0.1922,6.2
metal,steel,64.66,0.62,0.6162,3,5,0.3306,16.93
textile,clothes,7.49,12.06,0.7967,8,0,0.5537,12.56
paper,newspaper,25.43,4.93,0.909,11,1,0.4796,8.64
plastic,HDPE,9.29,2.33,0.7762,10,3,0.3648,22.44
paper,newspaper,9.59,3.21,0.7806,11,6,0.4082,12.77
metal,aluminum,25.17,6.03,0.3447,10,1,0.1342,55.23
textile,industrial_textile,50.4,9.58,0.8058,6,6,0.9305,8.4
plastic,mixed_plastic,24.78,15.2,0.8399,1,6,0.6789,14.57
e_waste,phones,2.73,4.64,0.7228,12,0,0.5747,123.84
metal,brass,5.25,0.55,0.7206,6,2,0.6728,339.89
plastic,mixed_plastic,25.12,1.32,0.7672,8,1,0.6593,17.22
plastic,mixed_plastic,23.37,16.49,0.6658,1,3,0.3936,18.75
textile,clothes,15.42,11.03,0.945,11,6,0.2296,12.04
paper,cardboard,34.45,6.73,0.8901,11,2,0.3288,15.95
plastic,mixed_plastic,27.71,17.1,0.5069,12,4,0.1113,8.86
plastic,PET,40.51,1.55,0.8651,3,0,0.6561,26.9
plastic,HDPE,26.99,1.31,0.6755,11,3,0.7782,28.71
paper,cardboard,30.24,13.43,0.6971,8,2,0.6014,17.5
plastic,PVC,8.46,9.21,0.4836,2,6,0.3119,9.45
metal,aluminum,14.72,15.26,0.7642,7,5,0.639,181.65
e_waste,cables,8.3,0.37,0.7224,6,1,0.5131,51.53
organic,food_waste,41.71,36.36,0.9669,8,4,0.7655,7.57
metal,steel,49.42,3.36,0.9549,2,2,0.9113,29.84
paper,cardboard,51.61,8.02,0.6411,7,3,0.4099,15.85
metal,steel,31.93,1.21,0.7043,9,3,0.2371,24.53
paper,mixed_paper,22.65,5.3,0.6212,9,5,0.5802,9.4
plastic,PET,12.89,0.84,0.722,10,2,0.3988,28.82
paper,mixed_paper,43.56,1.51,0.7378,8,0,0.336,10.36
glass,colored_glass,19.46,6.92,0.7457,9,1,0.5345,5.4
e_waste,computers,8.24,26.33,0.8227,2,5,0.574,118.36
metal,steel,34.05,5.3,0.7513,10,2,0.1441,17.21
organic,garden_waste,44.78,13.27,0.5826,5,0,0.4867,7.18
plastic,PET,18.78,2.97,0.9791,7,2,0.5384,40.21
metal,aluminum,19.2,2.2,0.8499,7,6,0.7625,156.06
paper,cardboard,65.79,7.45,0.8184,12,6,0.4724,13.43
plastic,HDPE,21.26,6.21,0.653,4,6,0.5672,26.03
e_waste,cables,5.48,0.41,0.6624,5,4,0.3616,55.54
e_waste,batteries,13.16,0.2,0.7963,10,5,0.1097,42.56
plastic,HDPE,22.73,0.26,0.813,8,5,0.2072,25.64
textile,industrial_textile,24.82,3.62,0.7014,4,0,0.7362,6.75
plastic,PET,44.15,4.35,0.8183,5,2,0.5854,37.86
paper,cardboard,34.07,5.69,0.4312,10,3,0.2269,11.18
plastic,PET,13.41,7.26,0.8965,11,3,0.5647,29.05
textile,clothes,20.5,5.23,0.4172,2,5,0.3707,15.01
metal,steel,34.87,3.75,0.6694,5,6,0.068,25.48
metal,aluminum,18.72,0.85,0.5386,10,3,0.3989,96.68
plastic,PVC,12.66,7.85,0.6231,2,0,0.6042,6.41
rubber,mixed_rubber,21.9,1.57,0.7674,3,2,0.5707,14.58
organic,food_waste,63.57,1.36,0.4085,2,1,0.7802,5.29
e_waste,computers,5.96,0.26,0.6644,7,3,0.4006,87.14
organic,food_waste,48.64,6.99,0.482,6,1,0.4995,4.4
organic,food_waste,63.01,0.7,0.4916,4,0,0.4426,6.4
paper,cardboard,84.64,2.48,0.8367,2,1,0.3613,17.73
plastic,HDPE,13.73,4.69,0.8695,8,3,0.2649,35.01
e_waste,phones,5.59,0.76,0.7127,10,0,0.4647,95.75
paper,mixed_paper,48.91,1.35,0.8615,3,0,0.502,7.46
plastic,HDPE,42.98,3.62,0.5891,8,1,0.7452,27.77
metal,brass,4.62,3.74,0.755,10,4,0.6237,287.79
e_waste,computers,3.96,11.13,0.8661,7,4,0.8139,81.9
plastic,PET,27.85,0.77,0.5057,7,2,0.531,30.67
textile,clothes,29.42,3.11,0.7956,3,4,0.7222,11.01
plastic,PET,27.23,2.71,0.7926,12,1,0.4102,27.49
metal,steel,22.75,17.85,0.9407,12,5,0.4259,33.79
e_waste,cables,4.86,12.82,0.6229,9,0,0.7905,117.09
metal,steel,46.25,2.14,0.5021,11,0,0.4899,28.4
metal,steel,57.77,0.39,0.8531,8,6,0.2641,39.92
paper,newspaper,18.49,2.18,0.4948,8,3,0.8418,10.04
organic,food_waste,48.73,2.62,0.9036,10,3,0.5495,6.7
metal,tin,8.22,12.53,0.609,1,2,0.4557,22.11
plastic,HDPE,19.63,9.29,0.8808,3,4,0.2157,20.08
e_waste,phones,1.39,9.22,0.5963,3,5,0.0755,70.47
rubber,tyres,16.68,15.32,0.8977,8,5,0.9101,26.15
paper,cardboard,53.86,33.5,0.6818,3,1,0.7818,13.25
metal,steel,40.58,18.82,0.6214,5,4,0.6749,32.75
metal,copper,3.76,1.78,0.8297,6,5,0.5231,672.19
plastic,PET,19.2,1.38,0.733,9,2,0.4665,43.5
metal,steel,67.67,11.79,0.9303,7,2,0.6491,35.48
paper,mixed_paper,28.15,4.41,0.9346,1,4,0.4013,8.39
metal,steel,106.44,6.31,0.9288,9,4,0.5343,28.62
paper,cardboard,33.2,25.69,0.8191,6,1,0.6016,15.0
glass,clear_glass,23.74,2.57,0.9104,2,6,0.5803,7.21
paper,newspaper,18.56,5.65,0.7326,8,3,0.6891,8.85
metal,tin,7.54,11.65,0.6212,4,3,0.21,17.45
e_waste,batteries,6.72,11.01,0.7855,6,1,0.1362,69.66
glass,colored_glass,8.34,20.97,0.7479,12,4,0.7725,5.45
glass,mixed_glass,47.55,19.91,0.9224,3,6,0.8073,3.6
metal,steel,47.42,4.57,0.8537,11,5,0.5474,22.58
metal,steel,19.26,3.67,0.9094,6,3,0.4703,34.3
textile,clothes,11.3,19.9,0.6561,12,4,0.5806,14.52
plastic,PP,11.91,2.49,0.6459,11,1,0.5588,20.36
plastic,PET,33.84,6.16,0.6987,10,0,0.6622,28.65
plastic,mixed_plastic,36.32,16.48,0.7073,3,4,0.3856,5.83
paper,mixed_paper,27.87,4.45,0.6602,10,1,0.4642,9.21
textile,industrial_textile,46.72,21.16,0.8958,5,0,0.4279,7.8
plastic,PET,21.54,4.15,0.5853,11,5,0.5199,29.22
textile,clothes,20.66,1.22,0.4603,12,3,0.166,12.59
metal,aluminum,16.98,25.46,0.7398,8,5,0.4681,154.01
paper,cardboard,57.98,1.11,0.6821,11,6,0.829,16.11
paper,office_paper,18.62,8.73,0.3866,7,0,0.5147,13.55
metal,steel,32.64,5.03,0.8405,1,5,0.7467,28.57
metal,steel,58.26,10.29,0.8991,11,2,0.4635,27.95
plastic,PP,18.96,4.71,0.7977,7,4,0.2447,21.84
rubber,tyres,32.42,9.79,0.7727,1,0,0.5084,15.68
paper,newspaper,12.82,18.75,0.8745,1,3,0.1378,5.71
textile,clothes,16.75,6.72,0.5922,9,4,0.2212,10.54
e_waste,batteries,13.08,1.2,0.8703,12,3,0.5517,35.09
plastic,mixed_plastic,35.14,4.2,0.9062,9,3,0.458,10.23
e_waste,phones,4.1,1.44,0.786,6,0,0.317,169.64
metal,aluminum,13.55,0.87,0.7686,4,0,0.2965,98.92
metal,steel,20.75,6.49,0.8781,6,4,0.5198,38.43
e_waste,cables,8.88,3.19,0.8398,4,2,0.7572,72.16
e_waste,phones,1.3,3.15,0.8343,4,4,0.4631,81.0
plastic,PET,10.72,7.54,0.5185,2,2,0.8713,31.5
paper,cardboard,28.93,1.28,0.5483,7,0,0.8488,12.69
paper,newspaper,23.5,22.86,0.6697,3,4,0.5253,8.34
organic,food_waste,77.38,8.24,0.4192,2,0,0.3459,4.85
paper,newspaper,27.17,9.68,0.8483,4,5,0.4118,7.04
plastic,PP,10.97,7.72,0.612,10,0,0.4568,12.58
plastic,HDPE,21.13,1.91,0.9219,7,6,0.2075,37.91
plastic,PP,13.13,9.73,0.8003,6,1,0.6236,14.78
paper,mixed_paper,49.76,4.52,0.7039,8,6,0.3182,10.03
organic,food_waste,73.29,10.2,0.6203,7,0,0.6751,5.49
plastic,mixed_plastic,14.21,3.64,0.8965,6,3,0.7776,17.86
plastic,PET,20.78,23.64,0.6419,11,2,0.4594,23.9
plastic,PET,19.61,7.24,0.865,9,1,0.2326,28.2
e_waste,computers,4.65,7.61,0.9045,3,3,0.6457,112.34
e_waste,batteries,14.17,2.18,0.8255,10,1,0.6968,45.45
metal,steel,50.83,5.37,0.7375,3,3,0.3791,29.6
metal,aluminum,16.88,9.07,0.9144,1,2,0.6454,141.18
paper,newspaper,26.16,2.77,0.8351,6,1,0.6799,15.07
metal,steel,87.34,3.56,0.8119,5,5,0.2249,23.52
e_waste,cables,5.2,1.35,0.688,10,3,0.1939,59.68
plastic,HDPE,26.51,4.67,0.8138,9,5,0.4124,21.91
metal,steel,46.06,17.85,0.7805,1,5,0.3928,25.41
organic,garden_waste,22.72,19.15,0.8834,6,1,0.6502,6.68
metal,steel,31.14,2.5,0.2992,10,2,0.5952,13.36
plastic,PET,14.34,2.98,0.9047,9,6,0.3426,32.83
metal,steel,34.52,13.85,0.5013,7,2,0.4447,21.79
metal,steel,29.84,10.4,0.8018,8,0,0.5702,32.14
metal,aluminum,25.18,0.89,0.9104,7,3,0.53,148.47
metal,aluminum,14.64,5.57,0.9275,3,6,0.3183,116.76
metal,steel,42.58,3.77,0.9323,7,1,0.3154,35.45
metal,aluminum,13.25,2.1,0.9348,9,4,0.3635,128.05
paper,newspaper,26.43,6.56,0.6637,1,2,0.2514,9.23
paper,mixed_paper,34.99,10.69,0.7114,9,2,0.6297,5.41
plastic,PP,32.63,1.7,0.9703,3,3,0.0457,16.23
plastic,HDPE,14.53,1.09,0.8171,1,1,0.5811,30.27
paper,cardboard,77.82,6.42,0.7734,10,2,0.5601,13.62
organic,food_waste,30.99,18.58,0.7435,5,1,0.6566,5.72
e_waste,mixed_ewaste,10.07,5.52,0.4665,5,5,0.7283,53.37
metal,aluminum,15.67,12.94,0.8776,8,1,0.7573,147.81
metal,tin,7.72,20.35,0.5488,7,5,0.7577,27.38
plastic,PET,32.99,16.4,0.598,8,0,0.6965,32.0
plastic,PET,23.8,0.99,0.8348,12,2,0.5679,44.64
paper,cardboard,23.81,1.21,0.5135,8,1,0.6602,15.4
plastic,PP,9.05,3.88,0.6747,1,3,0.2119,14.98
metal,aluminum,25.01,6.23,0.5422,3,5,0.3966,88.8
plastic,HDPE,39.71,8.27,0.7296,6,6,0.5106,27.52
paper,cardboard,21.77,7.5,0.554,6,5,0.6649,15.92
metal,steel,37.24,0.38,0.3663,5,3,0.2556,25.32
e_waste,cables,6.26,2.48,0.8559,3,3,0.6944,93.31
metal,aluminum,10.82,2.13,0.7954,2,6,0.3108,86.1
textile,clothes,12.21,12.31,0.8475,2,6,0.2543,19.18
metal,steel,51.75,1.72,0.7684,12,5,0.6049,37.1
e_waste,mixed_ewaste,7.67,5.2,0.9152,5,1,0.6886,57.8
organic,garden_waste,58.11,2.93,0.9021,12,1,0.4828,5.92
rubber,tyres,48.92,11.26,0.5503,5,1,0.5089,13.91
e_waste,phones,2.74,3.7,0.7532,4,1,0.3673,109.0
e_waste,phones,1.34,8.26,0.9791,6,6,0.7936,185.63
paper,office_paper,19.11,15.99,0.9025,12,1,0.0528,17.88
e_waste,phones,2.39,1.7,0.4943,7,5,0.5001,124.67
metal,steel,26.55,3.52,0.9418,1,5,0.4121,36.56
paper,cardboard,19.75,4.97,0.55,4,3,0.5023,8.57
paper,cardboard,61.67,0.29,0.743,12,2,0.4567,15.32
organic,food_waste,41.57,4.85,0.7491,2,1,0.5678,7.48
plastic,mixed_plastic,29.47,3.37,0.7691,11,4,0.4047,14.16
plastic,PP,16.55,6.46,0.6941,12,4,0.5661,24.79
paper,office_paper,17.65,1.62,0.8558,3,3,0.5026,16.72
plastic,PET,16.65,4.79,0.7789,7,3,0.2747,37.19
metal,steel,36.39,1.93,0.7617,8,5,0.8063,46.49
plastic,mixed_plastic,28.38,6.85,0.8592,10,5,0.3923,11.89
plastic,PP,13.31,5.4,0.7291,10,5,0.5783,17.05
plastic,PET,42.35,9.2,0.7618,1,1,0.6814,36.59
plastic,HDPE,35.59,2.46,0.6881,4,0,0.4755,18.94
plastic,HDPE,42.24,7.01,0.8286,12,3,0.7051,31.06
plastic,HDPE,22.15,6.32,0.5698,5,2,0.4364,24.54
plastic,PP,19.42,5.28,0.3966,3,2,0.5687,13.18
glass,clear_glass,27.37,3.04,0.5898,8,3,0.3274,9.05
plastic,PET,30.81,6.19,0.5401,3,6,0.0912,30.18
textile,clothes,9.94,8.92,0.6829,2,5,0.0482,9.57
organic,garden_waste,57.73,3.23,0.4759,10,4,0.5097,7.47
plastic,mixed_plastic,30.09,14.02,0.7231,2,4,0.4002,14.91
plastic,HDPE,98.97,25.67,0.8937,11,2,0.2443,18.25
paper,cardboard,31.59,3.65,0.6814,3,3,0.6368,15.77
e_waste,mixed_ewaste,17.83,3.78,0.6702,2,3,0.6979,110.37
paper,mixed_paper,21.7,17.68,0.9585,9,5,0.7826,12.49
e_waste,batteries,10.56,1.92,0.6563,3,6,0.3317,66.22
paper,cardboard,28.44,2.67,0.2124,5,3,0.2933,8.46
paper,office_paper,35.71,2.28,0.7744,5,5,0.4301,18.52
plastic,PET,27.86,11.72,0.6273,7,0,0.6559,37.86
glass,mixed_glass,16.94,11.53,0.5765,6,2,0.7378,4.06
metal,tin,9.82,9.6,0.9565,3,6,0.4781,30.57
glass,clear_glass,23.33,2.96,0.7296,3,4,0.48,7.22
organic,food_waste,63.7,8.13,0.8647,3,3,0.3732,4.45
metal,steel,38.62,1.04,0.8141,1,1,0.6752,34.84
paper,newspaper,11.55,11.52,0.5791,8,5,0.5739,7.67
metal,brass,3.85,12.97,0.7875,6,6,0.5646,441.92
glass,colored_glass,7.9,1.9,0.5213,2,2,0.5,4.29
metal,brass,5.48,0.2,0.9031,4,5,0.2321,259.64
textile,clothes,12.4,4.07,0.8278,9,4,0.6888,9.47
metal,steel,36.15,7.93,0.6033,4,2,0.5699,25.07
textile,industrial_textile,30.54,15.95,0.8829,5,2,0.769,9.46
e_waste,phones,6.63,30.17,0.6992,9,3,0.6852,126.71
paper,newspaper,24.85,4.28,0.6128,9,2,0.0432,10.3
e_waste,phones,2.2,3.55,0.7292,9,4,0.8188,86.12
e_waste,phones,3.27,9.04,0.7712,5,1,0.7361,112.81
textile,clothes,14.52,6.52,0.8543,6,3,0.6392,17.17
plastic,PET,17.74,9.71,0.7766,11,5,0.4877,29.26
paper,newspaper,26.09,0.2,0.8567,11,5,0.6594,8.56
metal,brass,5.29,3.44,0.7362,1,1,0.6291,364.26
paper,newspaper,19.54,2.41,0.8736,11,4,0.3831,6.66
metal,steel,91.35,5.96,0.4008,11,2,0.8736,24.18
paper,cardboard,66.67,13.26,0.8112,12,5,0.7401,17.11
paper,cardboard,29.26,2.43,0.7397,4,2,0.3864,11.94
plastic,mixed_plastic,20.61,0.2,0.8629,7,4,0.5446,10.57
paper,cardboard,47.83,11.0,0.6515,1,3,0.1606,13.7
e_waste,computers,8.73,1.68,0.5809,2,1,0.4317,98.0
e_waste,phones,2.96,0.35,0.79,7,4,0.3788,111.5
plastic,mixed_plastic,18.82,0.64,0.8704,3,4,0.6162,13.21
paper,newspaper,16.43,0.44,0.8807,3,4,0.4711,8.0
textile,clothes,19.42,0.87,0.8928,4,5,0.5199,18.37
metal,steel,54.02,3.05,0.5163,6,4,0.6409,43.35
metal,steel,15.44,2.79,0.7917,2,5,0.9155,38.48
metal,brass,2.98,1.19,0.8178,10,2,0.4145,310.55
paper,mixed_paper,37.15,2.67,0.8012,9,3,0.4612,12.9
plastic,PP,14.43,1.25,0.5056,10,3,0.5975,15.37
e_waste,phones,6.59,21.93,0.6598,12,4,0.6376,151.36
paper,mixed_paper,28.29,11.17,0.7994,8,0,0.4862,6.39
plastic,HDPE,31.76,13.55,0.8127,5,5,0.4798,19.52
organic,garden_waste,35.53,1.1,0.7205,12,3,0.6351,10.32
e_waste,computers,10.57,2.71,0.457,7,3,0.1873,99.98
plastic,PET,31.79,2.71,0.7456,6,6,0.4599,34.11
plastic,HDPE,29.2,0.94,0.7311,5,3,0.236,20.75
plastic,HDPE,29.07,6.53,0.7329,1,3,0.5836,28.94
metal,steel,37.29,4.57,0.7734,12,3,0.4007,27.49
metal,steel,45.33,16.95,0.8423,10,6,0.3212,33.25
textile,clothes,17.91,0.34,0.4099,9,1,0.528,8.32
plastic,PVC,14.7,2.5,0.4372,3,1,0.2748,6.98
plastic,PP,19.54,0.2,0.7655,12,0,0.3409,18.19
glass,colored_glass,17.1,8.94,0.648,3,5,0.1306,4.27
paper,cardboard,64.81,13.32,0.9588,3,0,0.5528,15.47
textile,clothes,13.97,9.27,0.9037,1,4,0.7464,16.43
e_waste,phones,3.44,3.19,0.662,4,6,0.9263,135.8
plastic,mixed_plastic,28.9,24.82,0.8575,4,4,0.3199,14.28
plastic,PP,24.94,7.92,0.6566,10,1,0.6401,10.94
rubber,tyres,21.57,4.63,0.8334,4,4,0.3503,20.08
glass,colored_glass,11.08,3.97,0.6918,12,3,0.2081,5.42
textile,industrial_textile,34.71,23.75,0.7214,4,0,0.5151,7.91
metal,steel,69.3,13.07,0.896,7,1,0.7731,39.05
e_waste,mixed_ewaste,10.0,19.82,0.4017,8,5,0.2626,41.96
paper,office_paper,19.45,0.23,0.8493,10,3,0.4595,13.91
metal,steel,57.65,14.23,0.7043,10,3,0.4198,18.16
paper,newspaper,30.44,4.15,0.8997,11,5,0.5625,10.78
glass,clear_glass,13.58,3.25,0.6758,12,3,0.7442,5.77
metal,copper,5.74,5.32,0.714,2,6,0.5425,547.73
plastic,mixed_plastic,23.07,0.2,0.9117,2,0,0.5642,9.45
e_waste,cables,4.36,10.47,0.5024,6,2,0.5001,88.31
plastic,PET,15.21,17.67,0.825,2,1,0.6327,35.01
plastic,mixed_plastic,24.77,12.36,0.7868,6,2,0.7742,15.87
plastic,PVC,8.05,1.25,0.4736,8,6,0.1826,8.71
plastic,PET,10.19,14.09,0.7538,4,2,0.2012,19.36
organic,garden_waste,38.47,1.47,0.8715,2,2,0.3419,7.84
e_waste,phones,6.59,2.09,0.5996,12,0,0.7394,117.42
metal,steel,72.57,4.36,0.6879,5,2,0.7804,23.9
rubber,mixed_rubber,13.43,6.27,0.6068,11,1,0.5197,6.97
organic,food_waste,76.13,3.93,0.6082,8,1,0.1073,7.94
plastic,PET,16.17,4.41,0.7643,8,0,0.462,29.47
e_waste,cables,3.09,3.13,0.7048,10,4,0.5512,53.72
metal,steel,109.62,9.58,0.6365,4,4,0.4015,23.22
